,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,tconst
118,"Aug 17, 2012","Aug 3, 2012",ParaNorman,Focus Features,Adventure,Original Screenplay,Stop-Motion Animation,Kids Fiction,60000000.0,3429.0,3455.0,20032.0,14087050.0,56003051.0,64445720.0,52116611.0,108119662.0,tt1623288
119,"Aug 15, 2012","Aug 15, 2012",The Odd Life of Timothy Green,Walt Disney,Drama,Original Screenplay,Live Action,Contemporary Fiction,40000000.0,2598.0,2717.0,17941.0,10822903.0,51853450.0,59670328.0,3395709.0,55249159.0,tt1462769
120,"Aug 3, 2012","Aug 3, 2012",Diary of a Wimpy Kid: Dog Days,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,22000000.0,3391.0,3401.0,16072.0,14623599.0,49008662.0,56396902.0,28221033.0,77229695.0,tt2023453
121,"Oct 12, 2012","Oct 10, 2012",Here Comes the Boom,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,42000000.0,3014.0,3014.0,17264.0,11816596.0,45290318.0,52089375.0,27948940.0,73239258.0,tt1648179
122,"Apr 13, 2012","Apr 13, 2012",The Three Stooges,20th Century Fox,Comedy,Remake,Live Action,Contemporary Fiction,30000000.0,3477.0,3482.0,15874.0,17010125.0,44338224.0,51022372.0,9714025.0,54052249.0,tt0383010
123,"Oct 5, 2012","Oct 4, 2012",Frankenweenie,Walt Disney,Adventure,Based on Short Film,Stop-Motion Animation,Fantasy,39000000.0,3005.0,3005.0,12496.0,11412213.0,35287788.0,40599025.0,45863000.0,81150788.0,tt1142977
124,"Jul 13, 2012","Jul 13, 2012",2016: Obama's America,Rocky Mountain Pictures,Documentary,Based on Factual Book/Article,Live Action,Factual,2500000.0,1.0,2017.0,9022.0,31610.0,33349941.0,38377570.0,0.0,33349941.0,tt2247692
125,"Apr 27, 2012","Mar 28, 2012",The Pirates! Band of Misfits,Sony Pictures,Adventure,Based on Fiction Book/Short Story,Stop-Motion Animation,Kids Fiction,55000000.0,3358.0,3358.0,14910.0,11137734.0,31051126.0,35732198.0,105092479.0,136143605.0,tt1430626
126,"Jul 5, 2012","Jul 5, 2012",Katy Perry: Part of Me,Paramount Pictures,Concert/Performance,Based on Real Life Events,Live Action,Factual,12000000.0,2730.0,2732.0,7876.0,7138266.0,25326071.0,29144070.0,7374368.0,32700439.0,N/A
127,"Feb 3, 2012","Feb 3, 2012",Big Miracle,Universal,Drama,Based on Real Life Events,Live Action,Dramatization,40000000.0,2129.0,2133.0,7751.0,7760205.0,20157300.0,23196088.0,5111380.0,25268680.0,tt1430615
128,"Dec 21, 2012","Dec 21, 2012",Cirque du Soleil: Worlds Away,Paramount Pictures,Drama,Original Screenplay,Live Action,Fantasy,25000000.0,840.0,840.0,3385.0,2282368.0,12512862.0,14359885.0,15500000.0,28012862.0,tt1792647
129,"Oct 26, 2012","Oct 25, 2012",Chasing Mavericks,20th Century Fox,Drama,Based on Real Life Events,Live Action,Dramatization,20000000.0,2002.0,2030.0,5042.0,2268274.0,6002756.0,6907071.0,2298065.0,8300821.0,tt1629757
130,"Sep 28, 2012","Sep 28, 2012",Won't Back Down,20th Century Fox,Drama,Original Screenplay,Live Action,Contemporary Fiction,19000000.0,2515.0,2517.0,5881.0,2603370.0,5310554.0,6111140.0,434949.0,5745503.0,tt1870529
131,"Dec 31, 2012","Jun 16, 2012",Foodfight!,,Adventure,Original Screenplay,Digital Animation,Kids Fiction,45000000.0,0.0,0.0,0.0,0.0,0.0,0.0,73706.0,73706.0,N/A
132,"Nov 22, 2013","Nov 22, 2013",Frozen,Walt Disney,Musical,Based on Folk Tale/Legend/Fairytale,Digital Animation,Kids Fiction,150000000.0,1.0,3742.0,50666.0,243390.0,400953009.0,451149053.0,865695311.0,1266648320.0,tt2294629
133,"Jul 3, 2013","Jun 26, 2013",Despicable Me 2,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,76000000.0,3997.0,4003.0,33528.0,84227980.0,368065385.0,414695440.0,607151450.0,975216835.0,tt1690953
