,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,tconst,Released_dt,year,franchise
985,"May 17, 2019","May 17, 2019",The Sun is Also a Star,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,9000000,2073,2073,4241,2511530,4950029,4950029,730767,5680796,tt6423362,2019-05-17 00:00:00,2019,0
1073,"Sep 17, 2010","Sep 17, 2010",The Town,Warner Bros.,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,37000000,2861,2935,19795,23808032,92186262,107024790,60380619,152566881,tt0840361,2010-09-17 00:00:00,2010,0
1444,"Apr 24, 2015","Dec 26, 2014",The Water Diviner,Warner Bros.,Drama,Original Screenplay,Live Action,Historical Fiction,22500000,320,385,1709,1220335,4200117,4563823,26854610,31054727,tt3007512,2015-04-24 00:00:00,2015,0
905,"Mar 16, 2018","Mar 6, 2018",Tomb Raider,Warner Bros.,Action,Based on Game,Live Action,Contemporary Fiction,90000000,3854,3854,13692,23633317,58250803,58570515,215226698,273477501,tt1365519,2018-03-16 00:00:00,2018,0
639,"Apr 18, 2014","Apr 18, 2014",Transcendence,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,100000000,3455,3455,10008,10886386,23022309,25812037,80016949,103039258,tt2202408,2014-04-18 00:00:00,2014,0
486,"Sep 21, 2012","Sep 21, 2012",Trouble with the Curve,Warner Bros.,Drama,Original Screenplay,Live Action,Contemporary Fiction,60000000,3212,3212,13874,12162040,35763137,41154561,12055776,47818913,tt2083383,2012-09-21 00:00:00,2012,0
1619,"Apr 21, 2017","Feb 26, 2016",Unforgettable,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,12000000,2417,2417,6418,4785431,11368012,11608807,4853199,16221211,tt10857178,2017-04-21 00:00:00,2017,0
390,"Feb 18, 2011","Feb 18, 2011",Unknown,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,40000000,3043,3043,14668,21856389,63686397,73564620,72436686,136123083,tt1401152,2011-02-18 00:00:00,2011,0
1477,"Jul 29, 2015","Jul 29, 2015",Vacation,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,31000000,3411,3430,16851,14681108,58884188,63983287,43422312,102306500,tt14078162,2015-07-29 00:00:00,2015,0
308,"Feb 12, 2010","Feb 12, 2010",Valentine's Day,Warner Bros.,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,52000000,3665,3665,16981,56260707,110485654,128269779,107083674,217569328,tt0817230,2010-02-12 00:00:00,2010,0
651,"Mar 14, 2014","Mar 14, 2014",Veronica Mars,Warner Bros.,Drama,Based on TV,Live Action,Contemporary Fiction,6000000,291,347,960,1988351,3322127,3724685,163256,3485383,tt2771372,2014-03-14 00:00:00,2014,0
1555,"Aug 19, 2016","Aug 19, 2016",War Dogs,Warner Bros.,Black Comedy,Based on Factual Book/Article,Live Action,Dramatization,50000000,3258,3258,12928,14685305,43034523,45571815,43199980,86234503,tt2005151,2016-08-19 00:00:00,2016,0
1447,"Aug 28, 2015","Aug 26, 2015",We Are Your Friends,Warner Bros.,Drama,Original Screenplay,Live Action,Contemporary Fiction,2000000,2333,2333,4957,1767308,3591417,3902416,6561998,10153415,tt3787590,2015-08-28 00:00:00,2015,0
1316,"Aug 7, 2013","Aug 7, 2013",We're the Millers,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,37000000,3260,3445,31564,26419396,150394119,169447735,117422157,267816276,tt1723121,2013-08-07 00:00:00,2013,0
648,"Feb 14, 2014","Feb 14, 2014",Winter's Tale,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,60000000,2965,2965,6996,7297694,12600231,14127056,16974802,29575033,tt1837709,2014-02-14 00:00:00,2014,0
