,mid,title,released,director,boxoffice,inf_adj_boxoffice,cr,wicar
648,tt3985956,Hercules,08-29-2014,"Abhijit Guha, Sudeshna Roy",0,0,0,0
1,tt1772872,Game,04-01-2011,Abhinay Deo,"$139,528",168968.408,0,0
525,tt5156746,Force 2,11-18-2016,Abhinay Deo,0,0,139528,28398.52033
1800,tt6972140,Blackmail,04-06-2018,Abhinay Deo,0,0,139528,9740.692474
2255,tt4399594,Fitoor,02-12-2016,Abhishek Kapoor,"$528,799",584587.2945,0,0
399,tt3848888,The Shaukeens,11-07-2014,Abhishek Sharma,0,0,0,0
1619,tt5320522,Monsoon Mangoes,01-15-2016,Abi Varghese,0,0,0,0
927,tt6624144,A Good Woman Is Hard to Find,05-08-2020,Abner Pastoll,0,0,0,0
308,tt7316906,Unfinished Business,08-15-2017,Abraham Galindo,0,0,0,0
228,tt1129427,Miss Nobody,06-01-2011,Abram Cox,0,0,0,0
993,tt3506970,1983,01-31-2014,Abrid Shine,0,0,0,0
4008,tt6277824,Poomaram,03-23-2018,Abrid Shine,0,0,0,0
494,tt1023344,Outrage,07-24-2009,Ace Cruz,0,0,0,0
2313,tt0325733,Was nützt die Liebe in Gedanken,11-24-2004,Achim von Borries,0,0,0,0
1589,tt2388823,Zombie Mutation,11-04-2012,Adam A. Park,0,0,0,0
507,tt0138537,Man of the Century,01-24-1999,Adam Abraham,"$34,857",51037.6194,0,0
2297,tt3703908,Standoff,02-26-2016,Adam Alleca,0,0,0,0
925,tt0127288,Six Ways to Sunday,03-05-1999,Adam Bernstein,"$54,751",80166.4142,0,0
524,tt0337585,Bomb the System,12-01-2002,Adam Bhala Lough,"$15,520",21741.968,0,0
955,tt0497470,Weapons,01-19-2007,Adam Bhala Lough,0,0,15520,147.4590435
428,tt3304688,Paperback,10-30-2015,Adam Bowers,0,0,0,0
2388,tt0178642,The Invisible Circus,02-23-2001,Adam Brooks,"$77,578",110315.916,0,0
2095,tt0832266,"Definitely, Maybe",02-14-2008,Adam Brooks,"$32,241,649",41085533.32,77578,1068.839993
2278,tt3110770,Road Hard,03-06-2015,"Adam Carolla, Kevin Hench","$113,169",127496.1954,0,0
1056,tt0129023,Dark Harbor,12-31-1999,Adam Coleman Howard,0,0,0,0
1137,tt0178050,Sunset Strip,08-18-2000,Adam Collis,"$3,926",5665.6106,0,0
1479,tt1262955,The Season,08-02-2008,Adam Edward Brooks,0,0,0,0
607,tt0978762,Mary and Max.,03-12-2010,Adam Elliot,0,0,0,0
23,tt7600566,Dark Ditties Presents 'Finders Keepers',08-01-2018,Adam Evans,0,0,0,0
167,tt8544172,Dark Ditties Presents: The Witching Hour,11-01-2019,Adam Evans,0,0,0,0
1766,tt2193191,Fractured,04-14-2013,Adam Gierasch,0,0,0,0
2588,tt0120081,Scotch and Milk,04-17-1998,Adam Goldberg,0,0,0,0
2308,tt0322700,I Love Your Work,11-04-2005,Adam Goldberg,"$3,264",4365.9264,0,0
135,tt3133722,No Way Jose,07-07-2015,Adam Goldberg,0,0,3264,513.646875
1253,tt1323045,Frozen,03-25-2010,Adam Green,"$246,176",303313.4496,0,0
1873,tt1727252,Chillerama,08-13-2013,"Adam Green, Joe Lynch, Bear McCreary",0,0,0,0
227,tt0491162,Spiral,01-27-2007,"Adam Green, Joel David Moore","$3,072",3979.4688,0,0
1616,tt0120627,Carnival of Souls,08-21-1998,Adam Grossman,0,0,0,0
2366,tt0092122,Twisted,10-16-1991,Adam Holender,0,0,0,0
3022,tt2499418,Buried Alive,10-01-2005,"Adam James Bromley, Mhairi Coyle, Mike Embleton, Craig Griffiths, Andy Kuchanny, David Sohanpal, Christopher Tolbert",0,0,0,0
1559,tt0806147,Extreme Movie,07-29-2009,"Adam Jay Epstein, Andrew Jacobson",0,0,0,0
730,tt1582248,Puncture,03-15-2012,"Adam Kassen, Mark Kassen","$68,945",82037.6555,0,0
529,tt5067958,Easy Living,09-19-2017,Adam Keleman,0,0,0,0
523,tt0166123,Circles,03-27-1998,Adam Kreutner,0,0,0,0
2531,tt2584640,Healing the Stupid,09-15-2013,Adam Lynton,0,0,0,0
2092,tt2944198,Backcountry,03-20-2015,Adam MacDonald,"$13,848",15601.1568,0,0
1350,tt1043838,Conspiracy,02-15-2008,Adam Marcus,0,0,0,0
1997,tt4574654,Beneath the Leaves,02-08-2019,Adam Marino,0,0,0,0
2319,tt6473542,Ring Ring,07-19-2019,Adam Marino,0,0,0,0
1484,tt0837791,The Devil's Chair,09-22-2007,Adam Mason,0,0,0,0
134,tt1137999,Blood River,04-17-2009,Adam Mason,0,0,0,0
2014,tt1637712,Pig,04-17-2010,Adam Mason,0,0,0,0
886,tt1351186,Luster,04-09-2013,Adam Mason,0,0,0,0
1514,tt4441422,Hangman,02-09-2016,Adam Mason,0,0,0,0
395,tt12592252,Songbird,12-11-2020,Adam Mason,0,0,0,0
552,tt0474865,A Lobster Tale,10-21-2006,Adam Massey,0,0,0,0
416,tt3584354,Man Vs.,11-13-2015,Adam Massey,0,0,0,0
967,tt0480584,Sovann komar,08-08-2004,Adam Mcclelland,0,0,0,0
1883,tt0357413,Anchorman: The Legend of Ron Burgundy,07-09-2004,Adam McKay,"$85,288,303",115881217.3,0,0
2363,tt0415306,Talladega Nights: The Ballad of Ricky Bobby,08-04-2006,Adam McKay,"$148,213,377",195122910.8,85288303,550153.2069
1987,tt0838283,Step Brothers,07-25-2008,Adam McKay,"$100,468,793",128027382.9,233501680,1895856.954
1247,tt1386588,The Other Guys,08-06-2010,Adam McKay,"$119,219,978",146890934.9,333970473,2569006.967
1739,tt1229340,Anchorman 2: The Legend Continues,12-18-2013,Adam McKay,"$127,352,707",148849843.9,453190451,8616068.223
417,tt1596363,The Big Short,12-23-2015,Adam McKay,"$70,259,870",79154769.54,580543158,18525707.1
1648,tt6266538,Vice,12-25-2018,Adam McKay,"$47,836,282",50864318.65,650803028,33504403.49
3899,tt10461980,You Are Here,09-11-2019,Adam Neutzsky-Wulff,0,0,0,0
54,tt2786266,Thanksgiving,07-03-2014,Adam Newport-Berra,0,0,0,0
596,tt3831344,Amelia 2.0,02-12-2021,Adam Orton,"$10,233",10233,0,0
4553,tt0120523,Wishful Thinking,07-09-1999,Adam Park,0,0,0,0
1332,tt2441174,A Grim Becoming,10-31-2014,Adam R. Steigert,0,0,0,0
1881,tt3171832,iBoy,01-27-2017,Adam Randall,0,0,0,0
1640,tt6079516,I See You,12-10-2019,Adam Randall,0,0,0,0
427,tt0380817,Winter Passing,06-15-2006,Adam Rapp,"$107,492",141513.218,0,0
1243,tt9058654,Dinner in America,01-21-2021,Adam Rehmeier,0,0,0,0
974,tt0098435,Tale of Two Sisters,06-15-1989,Adam Rifkin,0,0,0,0
4796,tt0101660,The Dark Backward,09-24-1993,Adam Rifkin,"$28,654",45582.7832,0,0
4487,tt0109402,The Chase,03-04-1994,Adam Rifkin,"$7,924,955",12439801.86,28654,2.995352367
3739,tt0165710,Detroit Rock City,08-13-1999,Adam Rifkin,"$4,217,115",6174699.783,7953609,4863.741088
187,tt0126861,Denial,10-13-1999,Adam Rifkin,0,0,12170724,2416.098754
1869,tt0484207,Homo Erectus,07-21-2008,Adam Rifkin,0,0,12170724,23.40934173
1511,tt5836316,Dog Years,03-30-2018,Adam Rifkin,"$14,410",15322.153,12170724,8.029404213
448,tt5726086,Insidious: The Last Key,01-05-2018,Adam Robitel,"$67,745,330",72033609.39,0,0
3855,tt5886046,Escape Room,01-04-2019,Adam Robitel,"$57,005,601",59411237.36,67745330,35296468.6
2210,tt9844522,Escape Room: Tournament of Champions,07-16-2021,Adam Robitel,"$9,823,354",9823354,124750931,94707705.96
853,tt14170154,Insidious: The Dark Realm,11-11-2021,Adam Robitel,0,0,134574285,104531060
2042,tt1483324,At Middleton,09-05-2013,Adam Rodgers,"$53,837",62924.6856,0,0
831,tt4009278,Shut In,01-15-2016,Adam Schindler,0,0,0,0
1664,tt0209475,The Wedding Planner,01-26-2001,Adam Shankman,"$60,400,856",85890017.23,0,0
2213,tt0281358,A Walk to Remember,01-25-2002,Adam Shankman,"$41,281,092",57830681.78,60400856,97905.13039
2022,tt0305669,Bringing Down the House,03-07-2003,Adam Shankman,"$132,716,677",183122470.9,101681948,94331.69864
3022,tt0395699,The Pacifier,03-04-2005,Adam Shankman,"$113,086,868",151264994.6,234398625,608883.1281
2470,tt0452598,Cheaper by the Dozen 2,12-21-2005,Adam Shankman,"$82,571,173",110447201,347485493,504721.4035
3326,tt0427327,Hairspray,07-20-2007,Adam Shankman,"$118,871,849",153986593.2,430056666,752501.5375
2339,tt0960731,Bedtime Stories,12-25-2008,Adam Shankman,"$110,101,975",140302946.7,548928515,1499251.776
1128,tt1336608,Rock of Ages,06-15-2012,Adam Shankman,"$38,518,613",45833297.61,659030490,5722230.191
505,tt7634968,What Men Want,02-08-2019,Adam Shankman,"$54,611,903",56916525.31,697549103,25262208.62
1533,tt2508246,Sacred Assassin,12-12-2012,Adam Shaw,0,0,0,0
1316,tt2611518,Lights Out,02-22-2013,Adam Shaw,0,0,0,0
3411,tt1663631,Crazy Eyes,03-11-2012,Adam Sherman,"$6,141",7307.1759,0,0
