,tconst,title,released_date,actor,dombox,adj_dombox,CRev,WICAR
5716,tt1726592,Before I Go to Sleep,2014-10-31 00:00:00, Mark Strong,3242457,3635357,3242457,390343.4856
6708,tt3381008,Grimsby,2016-03-11 00:00:00, Mark Strong,6864016,7268707,10106473,1606219.304
6489,tt4540710,Miss Sloane,2016-12-09 00:00:00, Mark Strong,3500605,3706722,13607078,1740944.607
6745,tt4649466,Kingsman: The Golden Circle,2017-09-22 00:00:00, Mark Strong,100234838,102357861,113841916,34111096.62
3865,tt0448115,Shazam!,2019-04-05 00:00:00, Mark Strong,140371656,140371660,254213572,71468137.11
1140,tt1279935,Date Night,2010-04-09 00:00:00, Mark Wahlberg,98711404,114600311,0,0
1052,tt1386588,The Other Guys,2010-08-06 00:00:00, Mark Wahlberg,119219978,138410009,119219978,11889329.24
5484,tt1272878,2 Guns,2013-08-02 00:00:00, Mark Wahlberg,75612460,85191893,194832438,8339213.492
2625,tt1528854,Daddy's Home,2015-12-25 00:00:00, Mark Wahlberg,150357137,161816850,345189575,28547450.31
3348,tt5657846,Daddy's Home 2,2017-11-10 00:00:00, Mark Wahlberg,104029443,106197843,449219018,35322670.17
6895,tt5294550,All the Money in the World,2017-12-25 00:00:00, Mark Wahlberg,25106325,25443613,474325343,24889869.59
5795,tt2955096,Happy Christmas,2014-06-26 00:00:00, Mark Webber,30312,33984,0,0
5546,tt9392532,Neighbors,2018-08-20 00:00:00, Marlen Egutia,150086800,168273569,0,0
5181,tt2243537,A Haunted House,2013-01-11 00:00:00, Marlene Forte,40041683,45114612,0,0
5658,tt5396774,Addicted,2013-11-24 00:00:00, Marlene Galdos,17390770,19498095,0,0
983,tt7963100,The Farewell,2013-07-24 00:00:00, Maro Drobnic,17700478,17700478,0,0
1714,tt1509803,Griff the Invisible,2011-03-01 00:00:00, Marshall Napier,20778,23999,0,0
7085,tt13545268,The Mule,2020-04-11 00:00:00, Martell Lane,103804407,104249942,0,0
1354,tt9151364,The Tempest,2019-03-17 00:00:00, Martha Henry,277943,322395,0,0
5238,tt1213663,The World's End,2013-08-23 00:00:00, Martin Freeman,26004851,29299432,0,0
2031,tt1170358,The Hobbit: The Desolation of Smaug,2013-12-13 00:00:00, Martin Freeman,258241522,290796795,258241522,48787606.42
2344,tt2310332,The Hobbit: The Battle of the Five Armies,2014-12-17 00:00:00, Martin Freeman,255119788,284840313,513361310,55973476.68
6643,tt3553442,Whiskey Tango Foxtrot,2016-03-04 00:00:00, Martin Freeman,23083334,24444312,536444644,16864832.64
672,tt4257926,Miracles from Heaven,2016-03-16 00:00:00, Martin Henderson,61705123,65343226,0,0
7195,tt1285009,The Strangers: Prey at Night,2018-03-09 00:00:00, Martin Henderson,24431472,24565563,24431472,8049643.684
373,tt1618432,I'm in Love with a Church Girl,2013-12-06 00:00:00, Martin Kove,2387730,2690228,0,0
7001,tt2277308,Friend Request,, Martin Kove,3759078,3838700,3759078,644026.9906
4212,tt1321509,Death at a Funeral,2010-04-16 00:00:00, Martin Lawrence,42739347,49618813,0,0
7602,tt1502397,Bad Boys for Life,2020-01-17 00:00:00, Martin Lawrence,204417855,204417855,204417855,17559360.04
5447,tt11067026,La Calor,2021-05-13 00:00:00, Martin Liji,159581587,179799176,0,0
3535,tt5804038,I Am Not Your Negro,2017-02-17 00:00:00, Martin Luther King,7123919,7274808,0,0
6195,tt1921149,Trash,2015-10-09 00:00:00, Martin Sheen,17484,18998,0,0
301,tt1142977,Frankenweenie,2012-10-05 00:00:00, Martin Short,35287788,40599025,0,0
5830,tt0455944,The Equalizer,2014-09-26 00:00:00, Marton Csokas,101530738,113827977,0,0
7164,tt1785670,Widows,2011-08-18 00:00:00, Martín Bossi,42402632,42632609,0,0
2309,tt8639136,De Oost,2021-08-13 00:00:00, Marwan Kenzari,2274649,2562821,0,0
533,tt4094360,Home,, Mary Carr,177397510,192759330,0,0
3522,tt2774034,Let There Be Light,, Mary Clerkin Higgins,7233471,7386303,0,0
480,tt10013634,Cinderella,2018-12-16 00:00:00, Mary Dunleavy,201151353,218570149,0,0
1257,tt0446029,Scott Pilgrim vs. the World,2010-08-13 00:00:00, Mary Elizabeth Winstead,32841100,37929352,0,0
2989,tt1179933,10 Cloverfield Lane,2016-03-11 00:00:00, Mary Elizabeth Winstead,72082999,76332973,72082999,6556952.453
6481,tt4034354,Swiss Army Man,2016-07-01 00:00:00, Mary Elizabeth Winstead,4210454,4458694,76293453,3609607.03
3930,tt1025100,Gemini Man,2019-10-11 00:00:00, Mary Elizabeth Winstead,48546770,48546770,124840223,17090601.63
7606,tt7713068,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020-02-07 00:00:00, Mary Elizabeth Winstead,84158461,84158461,208998684,64799400.08
3647,tt4727712,Book Club,, Mary Gauthier,68566296,68942621,0,0
2916,tt2182972,Song One,2015-01-22 00:00:00, Mary Steenburgen,32251,35037,0,0
1558,tt1152398,Beastly,2011-03-04 00:00:00, Mary-Kate Olsen,27865571,32187718,0,0
2181,tt0790736,R.I.P.D.,2013-07-19 00:00:00, Mary-Louise Parker,33618855,37878066,0,0
6701,tt6504712,Silence,, Maryam Kaviani,7100177,7262295,0,0
7082,tt0804509,La mula,2013-05-10 00:00:00, María Valverde,103804407,104249942,0,0
2280,tt8045822,Paranoia,2015-02-22 00:00:00, Masahiro Toda,7388654,8324727,0,0
5352,tt3088580,Phantom,2014-08-26 00:00:00, Masato Tsujioka,1034589,1165656,0,0
7543,tt4898888,Per amor vostro,2015-09-17 00:00:00, Massimiliano Gallo,7743794,7743794,0,0
5837,tt2278388,The Grand Budapest Hotel,2014-03-28 00:00:00, Mathieu Amalric,59076019,65981944,0,0
7202,tt4530422,Overlord,2018-11-09 00:00:00, Mathilde Ollivier,21704844,21823975,0,0
4948,tt1291652,Snabba cash,2010-01-15 00:00:00, Matias Varela,188870,217339,0,0
6888,tt3425402,Huset,2016-03-04 00:00:00, Mats Reinhardt,25584504,26126427,0,0
5910,tt2268016,Magic Mike XXL,2015-07-01 00:00:00, Matt Bomer,66013057,71729487,0,0
692,tt3850544,Hillsong: Let Hope Rise,2016-09-16 00:00:00, Matt Crocker,2394725,2535909,0,0
1037,tt1403865,True Grit,2010-12-22 00:00:00, Matt Damon,171243005,198311573,0,0
4706,tt0466893,Margaret,2012-06-01 00:00:00, Matt Damon,47185,54502,47185,4681.686151
2427,tt2177771,The Monuments Men,2014-02-07 00:00:00, Matt Damon,78031620,87487096,78078805,11742947.62
1214,tt1135084,Takers,2010-08-27 00:00:00, Matt Dillon,57744720,67039494,0,0
1939,tt6123126,Gone,2016-11-07 00:00:00, Matt Hill,11682205,13443335,0,0
1248,tt1666186,Vampires Suck,2010-08-18 00:00:00, Matt Lanter,36661504,42562654,0,0
7410,tt4410770,Ma,2015-04-19 00:00:00, Matt Lauria,45896028,45896028,0,0
1159,tt12757372,RED,2020-08-08 00:00:00, Matt Lee Ingebritson,90380162,104922918,0,0
6197,tt1988822,Trash,2010-11-01 00:00:00, Matt Locker,17484,18998,0,0
4342,tt1664697,Middle Men,, Matt Marshall,754301,875714,0,0
2248,tt7371048,Getaway,2017-12-31 00:00:00, Matt Mercurio,10501938,11832439,0,0
3793,tt3289724,Welcome to Marwen,2018-12-21 00:00:00, Matt O'Leary,10763520,10809386,0,0
608,tt11052558,The Walk,, Matt Pratt,10161183,11041098,0,0
4823,tt2109184,Paranormal Activity 4,2012-10-19 00:00:00, Matt Shively,53900335,62026006,0,0
5199,tt4155318,The Family,2013-01-16 00:00:00, Matt Silver,36918811,41596091,0,0
6167,tt2366608,Lost River,2015-04-10 00:00:00, Matt Smith,45431,49363,0,0
5198,tt4155318,The Family,2013-01-16 00:00:00, Matt Tory,36918811,41596091,0,0
2472,tt2106361,Into the Storm,2014-08-08 00:00:00, Matt Walsh,47602194,53370383,0,0
3675,tt5619332,Life of the Party,2018-05-11 00:00:00, Matt Walsh,53059911,53351128,53059911,11188542.48
5972,tt3713166,Unfriended,2015-04-17 00:00:00, Matthew Bohrer,32789645,35629084,0,0
4677,tt3986420,Trust,2021-03-12 00:00:00, Matthew Daddario,120016,138627,0,0
