,Unnamed: 0,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,TitleLower,tconst,titleType,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,primaryTitleLower
909,973,2014,2014,Veronica Mars,Warner Bros.,Drama,Based on TV,Live Action,Contemporary Fiction,6000000.0,291.0,347.0,960.0,1988351.0,3322127.0,3724685.0,163256.0,3485383.0,veronica mars,tt2771372,movie,Veronica Mars,Veronica Mars,2014.0,\N,107,veronica mars
910,974,2014,2014,50 to 1,Ten Furlongs,Drama,Based on Real Life Events,Live Action,Dramatization,10000000.0,19.0,133.0,631.0,78480.0,1069454.0,1199044.0,0.0,1069454.0,50 to 1,tt1777595,movie,50 to 1,50 to 1,2014.0,\N,110,50 to 1
911,975,2014,2014,Atlas Shrugged: Who Is John Galt?,Atlas Distribution,Drama,Based on Fiction Book/Short Story,Live Action,Science Fiction,5000000.0,242.0,242.0,517.0,461179.0,851690.0,954893.0,0.0,851690.0,atlas shrugged: who is john galt?,tt2800038,movie,Atlas Shrugged: Who Is John Galt?,Atlas Shrugged: Part III,2014.0,\N,99,atlas shrugged: who is john galt?
912,976,2014,2014,The Signal,Focus Features,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,4000000.0,120.0,204.0,554.0,155642.0,600896.0,673709.0,2064426.0,2665322.0,the signal,tt12434846,movie,The Signal,The Signal,2020.0,\N,\N,the signal
913,977,2014,2014,The Signal,Focus Features,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,4000000.0,120.0,204.0,554.0,155642.0,600896.0,673709.0,2064426.0,2665322.0,the signal,tt2910814,movie,The Signal,The Signal,2014.0,\N,97,the signal
914,978,2014,2014,23 Blast,Abramorama Films,Drama,Based on Real Life Events,Live Action,Dramatization,1000000.0,617.0,617.0,762.0,337091.0,549185.0,615726.0,0.0,549185.0,23 blast,tt2304459,movie,23 Blast,23 Blast,2014.0,\N,98,23 blast
915,979,2014,2013,The Face of Love,IFC Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,4000000.0,3.0,42.0,122.0,25800.0,385069.0,431729.0,773808.0,1158877.0,the face of love,tt1839642,movie,The Face of Love,The Face of Love,2013.0,\N,92,the face of love
916,980,2014,2014,Elsa & Fred,Alchemy,Comedy,Original Screenplay,Live Action,Contemporary Fiction,10000000.0,0.0,3.0,19.0,0.0,67657.0,74920.0,130244.0,197901.0,elsa & fred,tt2113659,movie,Elsa & Fred,Elsa & Fred,2014.0,\N,93,elsa & fred
917,981,2014,2014,Frontera,Magnolia Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,2300000.0,3.0,14.0,49.0,10962.0,59696.0,66923.0,0.0,59696.0,frontera,tt1914258,movie,Frontera,Frontera,2010.0,\N,98,frontera
918,982,2014,2014,Frontera,Magnolia Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,2300000.0,3.0,14.0,49.0,10962.0,59696.0,66923.0,0.0,59696.0,frontera,tt2510028,movie,Frontera,Frontera,2014.0,\N,103,frontera
