,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office
1515,2012,2012,Zero Dark Thirty,Sony Pictures,Thriller/Suspense,Based on Real Life Events,Live Action,Dramatization,"$52,500,000",5,"2,946","19,039","$417,150","$95,720,716","$107,953,705","$38,891,719","$134,612,435"
1516,2012,2012,Flight,Paramount Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$31,000,000","1,884","2,638","18,458","$24,900,566","$93,772,375","$107,878,007","$66,786,063","$160,558,438"
1517,2012,2012,The Campaign,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$95,000,000","3,205","3,302","20,254","$26,588,460","$86,907,746","$100,009,411","$18,000,000","$104,907,746"
1518,2012,2012,The Expendables 2,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,"$100,000,000","3,316","3,355","19,927","$28,591,370","$85,028,192","$97,846,506","$226,951,064","$311,979,256"
1519,2012,2012,This is 40,Universal,Comedy,Spin-Off,Live Action,Contemporary Fiction,"$35,000,000","2,913","2,931","13,731","$11,579,175","$67,544,505","$77,407,313","$22,676,677","$90,221,182"
1520,2012,2012,Underworld: Awakening,Sony Pictures,Action,Original Screenplay,Live Action,Fantasy,"$70,000,000","3,078","3,078","11,614","$25,306,725","$62,321,039","$71,716,168","$98,058,891","$160,379,930"
1521,2012,2012,The Dictator,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$65,000,000","3,008","3,014","12,339","$17,435,092","$59,650,222","$68,642,713","$120,498,675","$180,148,897"
1522,2012,2012,American Reunion,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$50,000,000","3,192","3,203","13,414","$21,514,080","$56,758,835","$65,315,435","$180,040,376","$236,799,211"
1523,2012,2012,Savages,Universal,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$45,000,000","2,628","2,635","10,388","$16,016,910","$47,323,100","$54,457,235","$35,190,390","$82,513,490"
1524,2012,2012,Resident Evil: Retribution,Sony Pictures,Horror,Based on Game,Live Action,Science Fiction,"$65,000,000","3,012","3,016","10,697","$21,052,227","$42,345,531","$48,729,276","$198,302,098","$240,647,629"
1525,2012,2012,Rock of Ages,Warner Bros.,Musical,Based on Musical or Opera,Live Action,Contemporary Fiction,"$70,000,000","3,470","3,470","11,127","$14,437,269","$38,518,613","$44,325,432","$22,513,319","$61,031,932"
1526,2012,2012,Abraham Lincoln: Vampire Hunter,20th Century Fox,Horror,Based on Fiction Book/Short Story,Live Action,Fantasy,"$67,500,000","3,108","3,109","9,577","$16,306,974","$37,519,139","$43,175,284","$99,970,591","$137,489,730"
1527,2012,2012,Thatâs My Boy,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$57,500,000","3,030","3,030","9,079","$13,453,714","$36,931,089","$42,498,589","$21,948,592","$58,879,681"
1528,2012,2012,The Watch,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$55,000,000","3,168","3,168","10,199","$12,750,297","$34,353,000","$39,531,839","$32,777,045","$67,130,045"
1529,2012,2012,Cloud Atlas,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Multiple Creative Types,"$102,000,000","2,008","2,023","8,175","$9,612,247","$27,108,272","$31,190,002","$103,564,882","$130,673,154"
1530,2012,2012,Wanderlust,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$32,500,000","2,002","2,002","6,273","$6,526,650","$17,288,155","$19,894,402","$6,871,779","$24,159,934"
1531,2012,2012,Safe,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,"$33,000,000","2,266","2,271","7,204","$7,892,539","$17,142,080","$19,726,307","$24,353,133","$41,495,213"
1532,2012,2012,The Master,Weinstein Co.,Drama,Original Screenplay,Live Action,Historical Fiction,"$37,500,000",5,864,"4,311","$736,311","$16,247,159","$18,690,037","$34,631,972","$50,879,131"
1533,2012,2012,Dredd,Lionsgate,Action,Based on Comic/Graphic Novel,Live Action,Science Fiction,"$45,000,000","2,506","2,557","6,281","$6,278,491","$13,414,714","$15,437,027","$28,052,892","$41,467,606"
1534,2012,2012,Anna Karenina,Focus Features,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$49,000,000",16,422,"2,628","$320,690","$12,816,367","$14,717,702","$58,188,260","$71,004,627"
1535,2012,2012,Jin lÃ­ng shÃ­ san chai,Wrekin Hill Entertainment,Drama,Original Screenplay,Live Action,Historical Fiction,"$100,000,000",30,30,86,"$48,558","$311,434","$358,376","$97,915,583","$98,227,017"
1536,2012,2012,Stolen,Alchemy,Action,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000",141,141,240,"$183,125","$289,773","$333,451","$17,677,973","$17,967,746"
1537,2012,2012,Solomon Kane,Radius,Action,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$40,000,000",0,0,0,$0,$0,$0,"$22,024,849","$22,024,849"
1538,2013,2013,The Conjuring,Warner Bros.,Horror,Original Screenplay,Live Action,Fantasy,"$20,000,000","2,903","3,115","18,800","$41,855,326","$137,400,141","$154,807,536","$180,344,261","$317,744,402"
1539,2013,2013,Jackass Presents: Bad Grandpa,Paramount Pictures,Comedy,Based on Real Life Events,Live Action,Factual,"$15,000,000","3,336","3,345","20,225","$32,055,177","$102,003,019","$114,923,815","$58,900,000","$160,903,019"
1540,2013,2013,The Best Man Holiday,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$17,000,000","2,024","2,041","8,882","$30,107,555","$70,525,195","$79,459,931","$2,310,515","$72,835,710"
1541,2013,2013,The Purge,Universal,Horror,Original Screenplay,Live Action,Science Fiction,"$3,000,000","2,536","2,591","9,330","$34,058,360","$64,473,115","$72,641,292","$26,793,466","$91,266,581"
1542,2013,2013,12 Years a Slave,Fox Searchlight,Drama,Based on Factual Book/Article,Live Action,Historical Fiction,"$20,000,000",19,"1,474","16,070","$923,715","$56,671,993","$63,751,429","$124,093,068","$180,765,061"
1543,2013,2013,Evil Dead,Sony Pictures,Horror,Remake,Live Action,Fantasy,"$17,000,000","3,025","3,025","12,938","$25,775,847","$54,239,856","$61,111,572","$44,802,091","$99,041,947"
1544,2013,2013,The Call,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$12,800,000","2,507","2,507","13,520","$17,118,745","$51,872,378","$58,444,153","$17,949,098","$69,821,476"
1545,2013,2013,Pain & Gain,Paramount Pictures,Action,Based on Real Life Events,Live Action,Contemporary Fiction,"$26,000,000","3,277","3,303","14,399","$20,244,505","$49,875,291","$56,194,054","$31,400,000","$81,275,291"
1546,2013,2013,A Haunted House,Open Road,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$2,500,000","2,160","2,160","9,547","$18,101,682","$40,041,683","$45,114,612","$19,880,875","$59,922,558"
1547,2013,2013,August: Osage County,Weinstein Co.,Black Comedy,Based on Play,Live Action,Contemporary Fiction,"$25,000,000",5,"2,411","11,635","$179,302","$37,738,810","$42,314,455","$13,000,000","$50,738,810"
1548,2013,2013,The Family,Relativity,Black Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$30,000,000","3,091","3,091","13,485","$14,034,764","$36,918,811","$41,596,091","$43,670,131","$80,588,942"
1549,2013,2013,Carrie,Sony Pictures,Horror,Remake,Live Action,Fantasy,"$30,000,000","3,157","3,157","11,221","$16,101,552","$35,266,619","$39,734,587","$47,142,901","$82,409,520"
1550,2013,2013,Texas Chainsaw 3D,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000","2,654","2,659","7,518","$21,744,470","$34,341,945","$39,215,984","$13,324,068","$47,666,013"
1551,2013,2013,Kevin Hart: Let Me Explain,Lionsgate,Concert/Performance,Based on Real Life Events,Live Action,Factual,"$2,500,000",876,892,"3,337","$10,030,463","$32,244,051","$36,329,082","$83,204","$32,327,255"
1552,2013,2013,Side Effects,Open Road,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$30,000,000","2,605","2,605","10,882","$9,303,145","$32,172,757","$36,248,758","$34,569,381","$66,742,138"
1553,2013,2013,Kick-Ass 2,Universal,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,"$28,000,000","2,940","2,945","8,737","$13,332,955","$28,795,985","$32,444,180","$34,333,924","$63,129,909"
1554,2013,2013,Dallas Buyers Club,Focus Features,Drama,Based on Real Life Events,Live Action,Dramatization,"$5,000,000",9,"1,110","8,269","$260,865","$27,298,285","$30,696,067","$33,313,560","$60,611,845"
1555,2013,2013,The World's End,Focus Features,Comedy,Original Screenplay,Live Action,Science Fiction,"$20,000,000","1,551","1,553","7,296","$8,811,790","$26,004,851","$29,299,432","$21,119,787","$47,124,638"
1556,2013,2013,21 and Over,Relativity,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$13,000,000","2,771","2,771","10,036","$8,754,168","$25,682,380","$28,936,110","$16,513,386","$42,195,766"
1557,2013,2013,Don Jon,Relativity,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$5,500,000","2,422","2,422","9,016","$8,677,009","$24,477,704","$27,578,791","$16,790,875","$41,268,579"
1558,2013,2013,The Place Beyond the Pines,Focus Features,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$15,000,000",4,"1,584","6,316","$279,457","$21,403,519","$24,115,156","$25,607,930","$47,011,449"
1559,2013,2013,Homefront,Open Road,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$22,000,000","2,570","2,570","8,567","$6,915,241","$20,158,492","$22,712,394","$31,536,870","$51,695,362"
1560,2013,2013,Runner Runner,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000","3,026","3,026","9,541","$7,706,712","$19,316,646","$21,763,894","$41,196,034","$60,512,680"
1561,2013,2013,You're Next,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$1,000,000","2,437","2,437","8,662","$7,020,196","$18,494,006","$20,837,031","$8,393,171","$26,887,177"
1562,2013,2013,Nebraska,Paramount Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$12,000,000",4,968,"5,646","$140,401","$17,654,912","$19,832,875","$7,106,448","$24,761,360"
1563,2013,2013,The Counselor,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$25,000,000","3,044","3,044","8,015","$7,842,930","$16,973,715","$19,124,056","$54,035,619","$71,009,334"
1564,2013,2013,Fruitvale Station,Weinstein Co.,Drama,Based on Real Life Events,Live Action,Contemporary Fiction,"$900,000",7,"1,086","4,860","$377,285","$16,098,998","$18,138,595","$1,450,647","$17,549,645"
1565,2013,2013,About Time,Universal,Romantic Comedy,Original Screenplay,Live Action,Science Fiction,"$12,000,000",175,"1,280","4,539","$1,076,250","$15,323,921","$17,265,327","$73,214,821","$88,538,742"
1566,2013,2013,Spring Breakers,A24,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$5,000,000",3,"1,379","4,363","$263,002","$14,124,286","$15,913,705","$17,024,965","$31,149,251"
1567,2013,2013,Inside Llewyn Davis,CBS Films,Drama,Based on Factual Book/Article,Live Action,Historical Fiction,"$11,000,000",4,729,"2,755","$405,411","$13,248,209","$14,896,340","$19,695,038","$32,943,247"
1568,2013,2013,The Last Stand,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000","2,913","2,913","6,922","$6,281,433","$12,050,299","$13,576,961","$36,280,458","$48,330,757"
1569,2013,2013,Out of the Furnace,Relativity,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$22,000,000","2,101","2,101","4,607","$5,220,288","$11,330,849","$12,765,568","$4,103,526","$15,434,375"
1570,2013,2013,Dead Man Down,FilmDistrict,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000","2,188","2,188","5,303","$5,345,250","$10,895,295","$12,275,627","$8,704,679","$19,599,974"
1571,2013,2012,Movie 43,Relativity,Comedy,Compilation,Multiple Production Methods,Multiple Creative Types,"$10,000,000","2,023","2,023","4,959","$4,805,878","$8,840,453","$9,960,456","$22,324,294","$31,164,747"
1572,2013,2013,Before Midnight,Sony Pictures Classics,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$3,000,000",5,897,"2,335","$246,914","$8,110,621","$9,138,163","$15,130,568","$23,241,189"
1573,2013,2013,Machete Kills,Open Road,Action,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000","2,538","2,538","6,804","$3,837,183","$8,008,161","$9,022,719","$10,264,848","$18,273,009"
1574,2013,2013,Promised Land,Focus Features,Drama,Original Screenplay,Live Action,Historical Fiction,"$15,000,000",25,"1,676","3,482","$173,915","$7,597,898","$8,666,239","$4,796,664","$12,394,562"
1575,2013,2013,The Spectacular Now,A24,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$2,500,000",4,770,"2,729","$197,415","$6,852,971","$7,721,175","$63,980","$6,916,951"
1576,2013,2012,The Company You Keep,Sony Pictures Classics,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$2,000,000",5,807,"2,429","$131,718","$5,132,442","$5,782,671","$15,955,318","$21,087,760"
1577,2013,2013,Frances Ha,IFC Films,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$3,000,000",4,233,"1,119","$137,398","$4,067,398","$4,582,693","$7,151,223","$11,218,621"
1578,2013,2013,The To Do List,CBS Films,Comedy,Original Screenplay,Live Action,Historical Fiction,"$1,500,000",591,591,"1,262","$1,579,402","$3,491,669","$3,934,028","$637,159","$4,128,828"
1579,2013,2013,Metallica Through the Never,Picturehouse,Concert/Performance,Based on Musical Group,Live Action,Factual,"$18,000,000",305,589,"1,250","$1,576,561","$3,419,967","$3,853,246","$5,662,939","$9,082,906"
1580,2013,2013,The Fifth Estate,Walt Disney,Drama,Based on Real Life Events,Live Action,Dramatization,"$26,000,000","1,769","1,769","3,774","$1,673,351","$3,254,172","$3,666,446","$2,900,000","$6,154,172"
1581,2013,2013,Filly Brown,Lionsgate,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$1,250,000",188,259,811,"$1,478,323","$2,850,357","$3,211,469","$90,054","$2,940,411"
1582,2013,2013,Trance,Fox Searchlight,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$16,000,000",4,443,"1,213","$131,145","$2,322,593","$2,616,838","$20,271,459","$22,594,052"
1583,2013,2013,The Iceman,Alchemy,Drama,Based on Real Life Events,Live Action,Dramatization,"$10,000,000",4,258,565,"$87,946","$1,930,282","$2,174,831","$1,693,327","$3,623,609"
1584,2013,2013,Stoker,Fox Searchlight,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$12,000,000",7,275,750,"$160,547","$1,703,125","$1,918,892","$10,331,788","$12,034,913"
1585,2013,2013,Lâattentat,Cohen Media Group,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$3,750,000",3,55,391,"$26,352","$1,625,707","$1,831,661","$1,612,268","$3,237,975"
1586,2013,2013,The Lords of Salem,Anchor Bay Entertainment,Horror,Original Screenplay,Live Action,Fantasy,"$1,500,000",355,355,700,"$642,942","$1,165,881","$1,313,581","$375,250","$1,541,131"
1587,2013,2013,Phantom,RCR Media Group,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,"$18,000,000","1,118","1,118","2,553","$508,000","$1,034,589","$1,165,656","$164,921","$1,199,510"
1588,2013,2013,Only God Forgives,Radius,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$4,800,000",78,81,243,"$313,958","$775,849","$874,139","$3,718,711","$4,494,560"
1589,2013,2012,On the Road,IFC Films,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$25,000,000",4,107,350,"$39,550","$720,828","$812,144","$8,592,474","$9,313,302"
1590,2013,2012,Jagten,Mongrel Media,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$3,450,000",0,47,256,$0,"$687,185","$774,240","$17,622,608","$18,309,793"
1591,2013,2013,The Reluctant Fundamentalist,IFC Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$15,000,000",3,58,247,"$30,920","$528,731","$595,711",$0,"$528,731"
1592,2013,2013,Ain't Them Bodies Saints,IFC Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$5,000,000",3,44,241,"$26,419","$391,611","$441,219","$683,398","$1,075,009"
1593,2013,2013,Drinking Buddies,Magnolia Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$500,000",2,33,157,"$19,505","$343,706","$387,248","$63,394","$407,100"
1594,2013,2013,"Cinco de Mayo, La Batalla",Lionsgate,Action,Based on Real Life Events,Live Action,Dramatization,"$10,000,000",20,43,88,"$83,586","$173,472","$195,447",$0,"$173,472"
1595,2013,2013,Winnie Mandela,Image Entertainment,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$15,000,000",32,32,32,"$61,847","$61,847","$69,680",$0,"$61,847"
1596,2013,2013,The Canyons,IFC Films,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$250,000",1,9,19,"$13,351","$59,671","$67,225","$2,704","$62,375"
1597,2013,2013,Redemption,Roadside Attractions,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$23,000,000",19,19,23,"$19,768","$36,686","$41,330","$13,556,787","$13,593,473"
1598,2013,2012,The Sweeney,Entertainment One,Action,Based on TV,Live Action,Historical Fiction,"$4,500,000",11,11,12,"$20,321","$26,345","$29,678","$7,974,021","$8,000,366"
1599,2013,2013,The Last Days on Mars,Magnolia Pictures,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$10,600,000",3,13,22,"$4,608","$24,084","$27,123","$237,280","$261,364"
1600,2013,2013,The Brass Teapot,Magnet Pictures,Black Comedy,Original Screenplay,Live Action,Fantasy,"$900,000",2,2,4,"$4,468","$6,997","$7,878","$406,736","$413,733"
1601,2013,2013,Inescapable,IFC Films,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$4,000,000",2,7,9,"$1,545","$4,327","$4,873",$0,"$4,327"
1602,2013,2013,Plush,IM Global/Blumhouse,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$2,000,000",10,10,10,"$2,843","$3,080","$3,462","$25,784","$28,864"
1603,2013,2012,Twixt,,Horror,Based on Real Life Events,Live Action,Fantasy,"$7,000,000",0,0,0,$0,$0,$0,"$1,268,346","$1,268,346"
1604,2013,2013,Small Apartments,Morocco Junction Pictures,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$2,000,000",0,0,0,$0,$0,$0,$0,$0
1605,2013,2013,A Haunting in Connecticut 2: The Ghos…,Lionsgate,Horror,Original Screenplay,Live Action,Science Fiction,"$9,000,000",0,0,0,$0,$0,$0,$0,$0
1606,2013,2013,The Vatican Exorcisms,,Horror,Original Screenplay,Live Action,Fantasy,"$1,100,000",0,0,0,$0,$0,$0,$0,$0
1607,2013,2013,Zulu,,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$16,000,000",0,0,0,$0,$0,$0,"$1,844,228","$1,844,228"
1608,2013,2013,30 Nights Of Paranormal Activity With…,,,,,,"$3,000,000",0,0,0,$0,$0,$0,$0,$0
1609,2013,2013,The Frozen Ground,Lionsgate,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$19,200,000",0,0,0,$0,$0,$0,"$5,617,460","$5,617,460"
1610,2013,2013,Alien Uprising,Phase 4 Films,Action,Original Screenplay,Live Action,Science Fiction,"$2,500,000",0,0,0,$0,$0,$0,$0,$0
1611,2013,2013,Black Rock,LD Entertainment,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$1,000,000",0,0,0,$0,$0,$0,$0,$0
1612,2013,2015,Speak No Evil,,Horror,Original Screenplay,Live Action,Fantasy,"$150,000",0,0,0,$0,$0,$0,"$32,927","$32,927"
1613,2013,2013,House at the End of the Drive,,Horror,Original Screenplay,Live Action,Fantasy,"$1,400,000",0,0,0,$0,$0,$0,$0,$0
1614,2013,2012,Stitches,MPI Media Group,Black Comedy,Original Screenplay,Live Action,Fantasy,"$2,000,000",0,0,0,$0,$0,$0,"$63,555","$63,555"
1615,2013,2013,All the Boys Love Mandy Lane,Radius,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$750,000",0,0,0,$0,$0,$0,"$1,960,521","$1,960,521"
1616,2013,2013,Re-Kill,,Horror,Original Screenplay,Live Action,Science Fiction,"$9,500,000",0,0,0,$0,$0,$0,$0,$0
1617,2013,2013,The Wicked Within,,Horror,Original Screenplay,Live Action,Fantasy,"$1,200,000",0,0,0,$0,$0,$0,$0,$0
1618,2013,2013,Straight A's,,Comedy,Original Screenplay,Live Action,Fantasy,"$2,000,000",0,0,0,$0,$0,$0,$0,$0
1619,2013,2013,The Heat,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$43,000,000","3,181","3,184","21,400","$39,115,043","$159,581,587","$179,799,176","$70,146,187","$229,727,774"
1620,2013,2013,Weâre the Millers,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$37,000,000","3,260","3,445","31,564","$26,419,396","$150,394,119","$169,447,735","$117,422,157","$267,816,276"
1621,2013,2013,American Hustle,Sony Pictures,Black Comedy,Based on Real Life Events,Live Action,Dramatization,"$40,000,000",6,"2,629","23,147","$740,455","$150,098,456","$168,771,534","$107,760,487","$257,858,943"
1622,2013,2013,Identity Thief,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000","3,141","3,230","25,197","$34,551,025","$134,506,920","$151,547,767","$40,854,658","$175,361,578"
1623,2013,2013,Anchorman 2: The Legend Continues,Paramount Pictures,Comedy,Original Screenplay,Live Action,Historical Fiction,"$50,000,000","3,507","3,507","18,686","$26,232,425","$127,413,176","$143,452,488","$44,833,047","$172,246,223"
1624,2013,2013,Lone Survivor,Universal,Action,Based on Factual Book/Article,Live Action,Dramatization,"$40,000,000",2,"3,285","21,035","$90,872","$125,095,601","$140,255,859","$24,709,031","$149,804,632"
1625,2013,2013,The Wolf of Wall Street,Paramount Pictures,Black Comedy,Based on Factual Book/Article,Live Action,Dramatization,"$100,000,000","2,537","2,557","17,000","$18,410,067","$116,949,183","$131,468,982","$272,969,720","$389,918,903"
1626,2013,2013,The Hangover 3,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$103,000,000","3,555","3,565","15,512","$41,671,198","$112,200,072","$126,414,833","$249,800,000","$362,000,072"
1627,2013,2013,This is the End,Sony Pictures,Comedy,Based on Short Film,Live Action,Science Fiction,"$32,000,000","3,055","3,055","17,933","$20,719,162","$101,470,202","$114,325,584","$25,068,915","$126,539,117"
1628,2013,2013,Olympus Has Fallen,FilmDistrict,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$70,000,000","3,098","3,106","21,351","$30,373,794","$98,927,592","$111,460,849","$73,951,336","$172,878,928"
1629,2013,2013,Elysium,Sony Pictures,Action,Original Screenplay,Live Action,Science Fiction,"$120,000,000","3,284","3,284","18,976","$29,807,393","$93,050,117","$104,838,746","$193,141,974","$286,192,091"
1630,2013,2013,2 Guns,Universal,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,"$61,000,000","3,025","3,028","15,505","$27,059,130","$75,612,460","$85,191,893","$56,880,555","$132,493,015"
1631,2013,2013,A Good Day to Die Hard,20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,"$92,000,000","3,553","3,555","14,076","$24,834,845","$67,349,198","$75,881,751","$236,900,000","$304,249,198"
1632,2013,2013,Prisoners,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$46,000,000","3,260","3,290","17,651","$20,817,053","$61,002,302","$68,730,759","$52,400,000","$113,402,302"
1633,2013,2013,Hansel & Gretel: Witch Hunters,Paramount Pictures,Action,Based on Folk Tale/Legend/Fairytale,Live Action,Contemporary Fiction,"$50,000,000","3,372","3,375","15,373","$19,690,956","$55,703,475","$62,760,610","$159,246,241","$214,949,716"
1634,2013,2013,Gangster Squad,Warner Bros.,Action,Based on Factual Book/Article,Live Action,Dramatization,"$60,000,000","3,103","3,103","12,153","$17,070,347","$46,000,903","$51,828,810","$58,100,000","$104,100,903"
1635,2013,2013,Riddick,Universal,Action,Original Screenplay,Live Action,Science Fiction,"$38,000,000","3,107","3,117","12,706","$19,030,375","$42,025,135","$47,349,350","$52,738,623","$94,763,758"
1636,2013,2013,Rush,Universal,Drama,Based on Real Life Events,Live Action,Dramatization,"$38,000,000",5,"2,308","9,212","$187,289","$26,947,624","$30,361,644","$71,283,215","$98,230,839"
1637,2013,2013,Escape Plan,Lionsgate,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$70,000,000","2,883","2,883","10,590","$9,885,732","$25,135,965","$28,320,064","$78,600,000","$103,735,965"
1638,2013,2013,The Big Wedding,Lionsgate,Romantic Comedy,Remake,Live Action,Contemporary Fiction,"$32,500,000","2,633","2,633","10,036","$7,591,663","$21,819,348","$24,583,663","$26,606,623","$48,425,971"
1639,2013,2013,Broken City,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000","2,620","2,622","8,146","$8,268,908","$19,701,164","$22,197,126","$17,413,813","$37,114,977"
1640,2013,2013,Parker,FilmDistrict,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$35,000,000","2,224","2,238","7,651","$7,008,222","$17,616,641","$19,848,511","$30,926,747","$48,543,388"
1641,2013,2013,Bullet to the Head,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,"$55,000,000","2,404","2,404","5,503","$4,548,201","$9,489,829","$10,692,102","$13,108,140","$22,597,969"
1642,2013,2012,Mr. Nobody,Magnolia Pictures,Drama,Original Screenplay,Live Action,Science Fiction,"$46,500,000",4,4,9,"$1,612","$3,622","$4,076","$18,632","$22,254"
1643,2014,2014,Neighbors,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$18,000,000","3,279","3,311","20,398","$49,033,915","$150,086,800","$168,273,569","$120,857,628","$270,944,428"
1644,2014,2014,Tammy,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000","3,465","3,465","16,446","$21,577,049","$84,525,432","$94,767,803","$11,882,223","$96,407,655"
1645,2014,2014,Annabelle,Warner Bros.,Horror,Spin-Off,Live Action,Historical Fiction,"$6,500,000","3,185","3,215","15,066","$37,134,255","$84,273,813","$94,485,693","$172,589,107","$256,862,920"
1646,2014,2014,Letâs Be Cops,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$17,000,000","3,094","3,140","20,658","$17,813,722","$82,390,774","$92,374,478","$54,500,000","$136,890,774"
1647,2014,2014,The Purge: Anarchy,Universal,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$9,000,000","2,806","2,856","11,344","$29,816,675","$71,562,550","$80,234,144","$39,972,331","$111,534,881"
1648,2014,2014,About Last Night,Sony Pictures,Romantic Comedy,Based on Play,Live Action,Contemporary Fiction,"$13,000,000","2,253","2,253","8,450","$25,649,011","$48,637,684","$54,531,349","$1,808,176","$50,445,860"
1649,2014,2014,John Wick,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000","2,589","2,589","11,816","$14,415,922","$43,037,835","$48,249,045","$32,972,675","$76,010,510"
