,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office
157,2013,2013,Despicable Me 2,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$76,000,000","3,997","4,003","33,528","$84,227,980","$368,065,385","$414,695,440","$607,151,450","$975,216,835"
158,2013,2013,Oz the Great and Powerful,Walt Disney,Adventure,Spin-Off,Animation/Live Action,Fantasy,"$200,000,000","3,912","3,912","27,888","$79,110,453","$234,770,996","$264,514,428","$255,588,055","$490,359,051"
159,2013,2013,The Croods,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$135,000,000","4,046","4,065","34,796","$43,639,736","$187,168,425","$210,881,025","$385,900,000","$573,068,425"
160,2013,2013,Cloudy with a Chance of Meatballs 2,Sony Pictures,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,"$78,000,000","4,001","4,001","29,882","$34,017,930","$119,793,567","$134,958,329","$154,599,082","$274,392,649"
161,2013,2013,Epic,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,"$100,000,000","3,882","3,894","19,604","$33,531,068","$107,518,682","$121,140,359","$155,275,759","$262,794,441"
162,2013,2013,Disney Planes,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$50,000,000","3,702","3,716","26,389","$22,232,291","$90,282,580","$101,720,591","$147,776,989","$238,059,569"
163,2013,2013,Turbo,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$135,000,000","3,806","3,809","16,334","$21,312,625","$83,028,130","$93,547,068","$203,868,448","$286,896,578"
164,2013,2013,The Smurfs 2,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Kids Fiction,"$110,000,000","3,866","3,867","17,079","$17,548,389","$71,017,784","$80,015,110","$277,529,739","$348,547,523"
165,2013,2013,Percy Jackson: Sea of Monsters,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$90,000,000","3,031","3,080","20,510","$14,401,054","$68,559,554","$77,245,217","$132,300,000","$200,859,554"
166,2013,2013,The Secret Life of Walter Mitty,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$91,000,000","2,909","2,922","11,536","$12,765,508","$58,236,838","$65,544,508","$129,624,345","$187,861,183"
167,2013,2013,Escape From Planet Earth,Weinstein Co.,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$40,000,000","3,288","3,353","20,610","$15,891,055","$57,012,977","$64,236,021","$17,143,633","$74,156,610"
168,2013,2013,Free Birds,Relativity,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$55,000,000","3,736","3,736","19,452","$15,805,237","$55,750,480","$62,808,856","$54,636,592","$110,387,072"
169,2013,2013,Walking with Dinosaurs,20th Century Fox,Adventure,Based on TV,Animation/Live Action,Kids Fiction,"$80,000,000","3,231","3,243","12,784","$7,091,938","$36,076,121","$40,620,542","$87,292,721","$123,368,842"
170,2013,2013,One Direction: This is Us,Sony Pictures,Concert/Performance,Based on Real Life Events,Live Action,Factual,"$10,000,000","2,735","2,735","9,764","$15,815,497","$28,873,374","$32,531,374","$39,553,626","$68,427,000"
171,2013,2013,Black Nativity,20th Century Fox,Musical,Based on Play,Live Action,Fantasy,"$17,500,000","1,516","1,525","3,418","$3,669,530","$7,018,188","$7,907,288","$435,996","$7,454,184"
172,2013,2013,Grace Unplugged,Roadside Attractions,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$1,700,000",511,511,"1,669","$998,145","$2,507,159","$2,824,788",$0,"$2,507,159"
173,2013,2013,I'm in Love with a Church Girl,High Top Releasing,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$3,000,000",457,458,"1,304","$971,826","$2,387,730","$2,690,228","$115,662","$2,503,392"
174,2013,2013,The Christmas Candle,Echolight Studios,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,"$7,000,000",5,392,749,"$68,655","$1,632,000","$1,838,760","$301,829","$1,933,829"
175,2013,2013,The Lost Medallion: The Adventures of…,Freestyle Releasing,Adventure,Original Screenplay,Live Action,Kids Fiction,"$2,500,000",68,68,247,"$143,532","$549,632","$619,262",$0,"$549,632"
176,2013,2013,Underdogs,Freestyle Releasing,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$2,500,000",4,4,8,"$18,722","$35,017","$39,452","$1,357,632","$1,392,649"
