,title,year,M,p,q
1046,Paper Towns,2015,3769671.148510598,0.6058388863401145,0.032311757799637575
1047,Pandas,2018,1007068.2226617553,0.02487977270827051,0.007370043149672937
1048,Pan,2015,4129973.743597251,0.5716926709133012,-0.1526041011136705
1049,Palo Alto,2014,93343.4479707628,0.14866896322339507,0.5038917632975793
1050,Pain & Glory,2019,490476.707297343,0.09386955671777496,0.1671163194833552
1051,Pain & Gain,2013,6137562.81197732,0.5238330055432047,-0.07552284558576317
1052,Page One: Inside the …,2011,132554.58677718038,0.07431454665586308,0.5281168695213471
1053,Paddington,2015,9097249.660016105,0.35538154775682296,-0.11347177517030305
1054,Pacific Rim,2013,12470936.959794007,0.5157253514499456,-0.04526931326139427
1055,POM Wonderful Present…,2011,80643.01136862849,0.22530414232252993,0.14142248938978214
1056,PASSIONE: A Musical A…,2011,34592.24863767706,0.10364952173055758,0.015117820927965889
1057,Oz the Great and Powe…,2013,28690940.784709863,0.44084254009492657,-0.07900247270508493
1058,Overcomer,2019,3789871.0793125248,0.3366420718961972,0.14459697569808508
1059,Over Your Cities Gras…,2011,5630.999215543069,0.20878560639988836,0.2988633155398006
1060,Out of Liberty,2019,12262.25423528661,-0.6045807890026138,8.129261144548092e-06
1061,Our Little Sister,2016,53791.72791734632,0.10199959078804002,0.19205521909713416
1062,Our Last Tango,2016,11949.7317621091,0.11589605434218321,0.12812819088404845
1063,Our Kind of Traitor,2016,362975.7076694967,0.48225302188531627,0.23657724514820466
1064,Our Idiot Brother,2011,3116950.653461614,0.41711518595160624,0.3495905341816186
1065,Our Family Wedding,2010,2556504.016246094,0.48679683527204176,0.004731961937259277
1066,Ouija: Origin of Evil,2016,4075133.704480898,0.49677693780252186,0.15102919415468435
1067,"Oslo, August 31st",2012,2565.846872307593,-0.39125693233648146,1.6339009973236003e-05
1068,Orlando,2010,680357.260899126,-14.209392145843912,14.695768827480036
1069,Orgasm Inc,2011,7124.577901217057,0.1478471577320705,-0.058974028552420815
1070,Orchestra of Exiles,2012,1086.1167639963408,-0.44782940488470235,5.181467972218794e-05
1071,Operation Finale,2018,1915775.0702482765,0.2671244860737419,0.8538858570570631
1072,Only the Brave,2017,2019169.581287991,0.46721492994728414,0.11737651346439287
1073,Only Yesterday,2016,52230.014015253546,-0.0075833624358859425,0.8152596258651247
1074,Only Lovers Left Alive,2014,221925.42434304094,0.08831034985489529,0.4053537693823011
1075,One for the Money,2012,3306628.762090292,0.5469848793626086,0.09100547950379295
1076,One Track Heart: The …,2013,19648.74852138386,0.04995017182594295,0.03370627171836607
1077,Ondine,2010,67495.33579182025,0.06202882337690692,0.5060660170287555
1078,Once Upon a Timeâ¦in H…,2019,15464687.591803517,0.41413077328093334,-0.11434856060819015
1079,Once I Was a Beehive,2015,99059.99728776365,0.1059461784529191,0.04512118942920753
1080,On the Ice,2012,3570.236178982854,-0.8292328799107642,5.22736656477424e-05
1081,On the Basis of Sex,2018,2637659.396940719,0.0627309311507102,0.9745940918359425
1082,On The Seventh Day,2018,2252.1358420182755,-0.4285002259192068,2.1365401413565906e-05
1083,Olympus Has Fallen,2013,12232815.671156572,0.4053770144511024,-0.08266733788434072
1084,Old Dogs,2009,35304978.97219801,-11.278233413879642,9.010513305213532e-07
1085,Oh Lucy!,2018,40469.55548217842,0.11143505581315678,0.3123204238633783
1086,Official Secrets,2019,212466.9964976609,0.12923051516508471,0.8033597995009569
1087,Off and Running,2010,1522.6858080419825,-1.4908501356448494,0.00038620450677542915
1088,Of Gods and Men,2011,508025.31306064106,0.1166847781820825,0.1316553992129666
1089,Of Fathers and Sons,2018,572.4445211851977,-1.1390556255337523,0.000603848309880425
1090,Ode to My Father,2014,267531.95233803417,0.06480872806567821,0.6473652350424385
1091,Oculus,2014,3383450.2120218202,0.5783619707702516,0.04867629668854101
1092,Octubre,2011,1428.3366447243607,-0.7986998555439097,0.00012115645430670405
1093,October Country,2010,1311.826466695433,-0.9699174277270808,0.00019398555592772668
1094,Oceanâs 8,2018,15433841.626890035,0.41992900847987086,-0.08689317398701141
1095,Oceans,2010,2417303.2029066356,0.24618207185503643,0.5319552926325566
1096,Ocean Waves,2016,9168.878676363958,0.08984345674483435,0.7421474575476905
1097,Obvious Child,2014,374230.1454758204,0.07069793692675759,0.642864239939616
1098,Oblivion,2013,10917237.675746556,0.5349139798135121,-0.025503807939015632
1099,Obit,2017,34149.08522868613,0.018033454810542877,0.5936687363281314
1100,OSS 117,2010,12071.781181540771,0.16367470543122886,0.052773363485357744
1101,OC87,2012,5578.50729174931,0.2064221612857214,0.05609660873144576
1102,Nymphomaniac: Volume I,2014,94298.18461075885,0.25806332961719747,0.35500568869593707
1103,Nuts!,2016,4975.7193672599615,0.1840026886563777,0.18343356999738464
1104,Now You See Me 2,2016,7555635.871101653,0.48263337460045497,-0.03812072872008787
1105,Now You See Me,2013,14430918.583998818,0.35557530929960707,0.040764843502068715
1106,Novitiate,2017,63155.44391973539,0.0057503172333025,0.8242483269096617
1107,Nostalgia for the Light,2011,4293.407424403776,-0.5505267063879976,1.872300805080512e-05
1108,North Face,2010,93718.73325692349,0.06020539763719388,0.1770543742207489
1109,Non-Stop,2014,11236031.466434231,0.39729859129739736,0.023568446132534393
1110,Non-Fiction,2019,75333.49118788907,0.0729732139080521,0.645927283273483
1111,Nocturnal Animals,2016,1172462.7819815357,0.052928106590660315,1.1687880654889673
1112,Nobody,2021,3046719.988561505,0.3023067472023218,-0.10585165236868199
1113,Noah,2014,12404412.409072865,0.5455689782918887,-0.10943314800011439
1114,No Strings Attached,2011,8977122.085076863,0.3629487535944247,0.08985140735907965
1115,No Safe Spaces,2019,139876.75651948256,0.040512118034123114,0.5129793322035713
1116,No Place on Earth,2013,24559.56373476215,0.13880472829477564,0.1359225409800334
1117,No Escape,2015,3199569.103436173,0.03539943511659849,1.2421701615817022
1118,"No Date, No Signature",2018,3859.280541264424,0.1773184012130713,0.10453376987451286
1119,No,2013,284137.28519468615,0.02769272464793732,0.47002676730937964
1120,Nitro Circus: The Mov…,2012,418773.78283573344,0.3227659758423191,1.51623956125088
1121,Nine Nation Animation,2010,336.9318537246902,-0.12232313332464688,1.6826818159994517e-05
1122,Nine Lives,2016,2248723.797760342,0.5193158389322619,0.09529641534589856
1123,Nine,2009,2463356.3644918078,0.25915871989349537,0.549519231163016
1124,Nightlights,2014,2443.042049513865,-0.12967754628780737,0.5481971666067137
1125,Nightcrawler,2014,3875772.252721312,0.45204339266640764,-0.056561691086310095
1126,Night at the Museum: …,2014,13367619.939989865,0.34416247325326005,0.3179108831682864
1127,Night School,2017,8430454.36305225,0.11412970542189162,0.5178000356185296
1128,Night Moves,2014,31736.622312623556,0.18858114142594223,0.5060612988669468
1129,Night Catches Us,2010,10156.912787658914,0.24452426269117938,-0.06919535850757097
1130,"Nico, 1988",2018,8127.075620503492,0.2758539030263208,0.11912383340559651
1131,News of the World,2020,1414162.2861165723,0.2798795257597694,-0.09259327253142585
1132,New Yearâs Eve,2011,6926629.86980565,0.30251936872554486,0.21107213860758345
1133,New World Order,2016,2236.3085783047204,-0.052082930978494514,0.40256829670996436
1134,Never Look Away,2019,136909.48809821883,0.03551438680641696,0.5482304466266991
1135,Never Let Me Go,2010,300766.98880726367,0.04887266855041196,0.6922371144192935
1136,Never,2016,658.7711967510229,-0.5535691776647554,0.00013255054340494737
1137,Nerve,2016,4366060.329596409,0.24447067218126278,0.64252014985671
1138,Neruda,2016,106050.6492413866,0.0510426847370471,0.22156478866692983
1139,Neon Bull,2016,1105.4520503560634,-0.6656632164953483,0.00010822298707986538
1140,Nenette,2010,2234.8233824448394,0.10332046938582343,0.35127110754990665
1141,Neil Young Journeys,2012,27097.338971706577,0.09982512053776539,0.20949835578657067
1142,Neighbors,2014,18378814.56403042,0.43485013507594816,-0.04378278475290315
1143,Need for Speed,2014,5320382.953302743,0.5199178640304458,0.011579491168062561
1144,Nebraska,2013,2272207.791711021,0.022223585464150163,0.28561397970167707
1145,National Gallery,2014,30268.27972233169,0.09308687032181055,0.17627540669640346
