,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,TitleLower
415,2010,2010,To Save a Life,Samuel Goldwyn Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,500000.0,441.0,441.0,1686.0,1513955.0,3777210.0,4385194.0,47658.0,3824868.0,to save a life
416,2010,2010,Another Year,Sony Pictures Classics,Drama,Original Screenplay,Live Action,Contemporary Fiction,8000000.0,6.0,236.0,1072.0,111869.0,3205706.0,3703892.0,16799907.0,20005613.0,another year
417,2010,2010,Rabbit Hole,Lionsgate,Drama,Based on Play,Live Action,Contemporary Fiction,5000000.0,5.0,131.0,1048.0,53778.0,2229058.0,2577340.0,3975976.0,6205034.0,rabbit hole
418,2010,2010,Ondine,Magnolia Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,12000000.0,5.0,39.0,245.0,27497.0,550472.0,639075.0,7073.0,557545.0,ondine
419,2010,2010,The City of Your Final Destination,Hyde Park Films,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,8300000.0,1.0,25.0,223.0,24401.0,493296.0,572692.0,860000.0,1353296.0,the city of your final destination
420,2010,2010,The Yellow Handkerchief,Samuel Goldwyn Films,Drama,Remake,Live Action,,15500000.0,7.0,29.0,125.0,37296.0,318623.0,369908.0,0.0,318623.0,the yellow handkerchief
421,2010,2010,The Tempest,Miramax,Drama,Based on Play,Live Action,Historical Fiction,20000000.0,5.0,21.0,82.0,42436.0,277943.0,322395.0,0.0,277943.0,the tempest
422,2010,2010,Bran Nue Dae,Freestyle Releasing,Musical,Based on Musical or Opera,Live Action,Contemporary Fiction,6750000.0,16.0,55.0,101.0,23527.0,113568.0,131840.0,6698962.0,6812530.0,bran nue dae
423,2010,2010,Blood Done Sign My Name,Paladin,Drama,Based on Real Life Events,Live Action,Dramatization,10000000.0,95.0,95.0,95.0,82739.0,109383.0,126985.0,0.0,109383.0,blood done sign my name
424,2010,2010,Wild Target,Freestyle Releasing,Comedy,Remake,Live Action,Contemporary Fiction,8000000.0,4.0,13.0,49.0,23174.0,109338.0,126930.0,5204856.0,5314194.0,wild target
425,2010,2010,Freakonomics,Magnolia Pictures,Documentary,Based on Factual Book/Article,Live Action,Factual,2900000.0,20.0,20.0,83.0,31893.0,101270.0,117569.0,71597.0,172867.0,freakonomics
426,2010,2010,The Living Wake,Mangusta Productions,,,,,500000.0,1.0,1.0,4.0,3821.0,12232.0,14198.0,0.0,12232.0,the living wake
427,2011,2011,Harry Potter and the Deathly Hallows: Part 2,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,125000000.0,4375.0,4375.0,26153.0,169189427.0,381193157.0,440108798.0,953199387.0,1334392544.0,harry potter and the deathly hallows: part 2
428,2011,2011,Transformers: Dark of the Moon,Paramount Pictures,Action,Based on TV,Animation/Live Action,Science Fiction,195000000.0,4088.0,4107.0,23342.0,97852865.0,352390543.0,407048847.0,771403536.0,1123794079.0,transformers: dark of the moon
429,2011,2011,The Twilight Saga: Breaking Dawn - Part 1,Summit Entertainment,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,127500000.0,4061.0,4066.0,24750.0,138122261.0,281287133.0,324891726.0,408132918.0,689420051.0,the twilight saga: breaking dawn - part 1
430,2011,2011,Pirates of the Caribbean: On Stranger Tides,Walt Disney,Adventure,Based on Theme Park Ride,Live Action,Historical Fiction,379000000.0,4155.0,4164.0,25026.0,90151958.0,241071802.0,278463771.0,804642000.0,1045713802.0,pirates of the caribbean: on stranger tides
431,2011,2011,Fast Five,Universal,Action,Based on Factual Book/Article,Live Action,Contemporary Fiction,125000000.0,3644.0,3793.0,23595.0,86198765.0,210031325.0,242608691.0,420132129.0,630163454.0,fast five
432,2011,2011,Mission: Impossible - Ghost Protocol,Paramount Pictures,Action,Based on TV,Live Action,Contemporary Fiction,145000000.0,425.0,3555.0,21418.0,12785204.0,209397903.0,241580069.0,485315327.0,694713230.0,mission: impossible - ghost protocol
433,2011,2011,Sherlock Holmes: A Game of Shadows,Warner Bros.,Action,Based on Fiction Book/Short Story,Live Action,Historical Fiction,125000000.0,3703.0,3703.0,24480.0,39637079.0,186848418.0,215612550.0,348815025.0,535663443.0,sherlock holmes: a game of shadows
434,2011,2011,Thor,Paramount Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,150000000.0,3955.0,3963.0,22538.0,65723338.0,181030624.0,209109774.0,268295994.0,449326618.0,thor
435,2011,2011,Rise of the Planet of the Apes,20th Century Fox,Adventure,Remake,Animation/Live Action,Science Fiction,93000000.0,3648.0,3691.0,26276.0,54806191.0,176760185.0,204176959.0,294226015.0,470986200.0,rise of the planet of the apes
436,2011,2011,Captain America: The First Avenger,Paramount Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,140000000.0,3715.0,3715.0,21349.0,65058524.0,176654505.0,204054893.0,193915271.0,370569776.0,captain america: the first avenger
437,2011,2011,The Help,Walt Disney,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,25000000.0,2534.0,3014.0,28827.0,26044590.0,169705587.0,196027233.0,43414417.0,213120004.0,the help
438,2011,2011,X-Men: First Class,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,160000000.0,3641.0,3692.0,17709.0,55101604.0,146408305.0,169117288.0,209000000.0,355408305.0,x-men: first class
439,2011,2011,Super 8,Paramount Pictures,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,50000000.0,3379.0,3424.0,19362.0,35451168.0,127004179.0,146703436.0,130968566.0,257972745.0,super 8
440,2011,2011,Green Lantern,Warner Bros.,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,200000000.0,3816.0,3816.0,15762.0,53174303.0,116601172.0,134686854.0,102934320.0,219535492.0,green lantern
441,2011,2011,Just Go with It,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,80000000.0,3548.0,3548.0,20711.0,30514732.0,103028109.0,119008506.0,111946844.0,214974953.0,just go with it
442,2011,2011,Cowboys & Aliens,Universal,Action,Based on Comic/Graphic Novel,Live Action,Science Fiction,163000000.0,3750.0,3754.0,18527.0,36431290.0,100368560.0,115936444.0,75669764.0,176038324.0,cowboys & aliens
443,2011,2011,The Green Hornet,Sony Pictures,Action,Based on TV,Live Action,Super Hero,110000000.0,3584.0,3584.0,19320.0,33526876.0,98780042.0,114101531.0,130375461.0,229155503.0,the green hornet
444,2011,2011,Real Steel,Walt Disney,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,110000000.0,3440.0,3440.0,20174.0,27319677.0,85463309.0,98715048.0,178417032.0,263880341.0,real steel
445,2011,2011,"Crazy, Stupid, Love.",Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,50000000.0,3020.0,3020.0,18512.0,19104303.0,84351197.0,97434673.0,62791131.0,147142328.0,"crazy, stupid, love."
446,2011,2011,Battle Los Angeles,Sony Pictures,Action,Original Screenplay,Live Action,Science Fiction,70000000.0,3417.0,3417.0,15219.0,35573187.0,83552429.0,96512004.0,129911547.0,213463976.0,battle los angeles
447,2011,2011,War Horse,Walt Disney,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,70000000.0,2376.0,2856.0,17902.0,7515402.0,79883359.0,92102170.0,76932170.0,156815529.0,war horse
448,2011,2011,Limitless,Relativity,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,27000000.0,2756.0,2838.0,17098.0,18907302.0,79249455.0,91541614.0,76315464.0,155564919.0,limitless
449,2011,2011,Tower Heist,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,85000000.0,3367.0,3370.0,19426.0,24025190.0,78046570.0,90146729.0,72376376.0,150422946.0,tower heist
450,2011,2011,Contagion,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,60000000.0,3222.0,3222.0,18970.0,22403596.0,75658097.0,87393215.0,61893497.0,137551594.0,contagion
451,2011,2011,Moneyball,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Dramatization,50000000.0,2993.0,3018.0,20867.0,19501302.0,75605492.0,87329635.0,35695343.0,111300835.0,moneyball
452,2011,2011,Unknown,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,40000000.0,3043.0,3043.0,14668.0,21856389.0,63686397.0,73564620.0,72436686.0,136123083.0,unknown
453,2011,2011,The Adjustment Bureau,Universal,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,50200000.0,2840.0,2847.0,14320.0,21157730.0,62495645.0,72189172.0,64435680.0,126931325.0,the adjustment bureau
454,2011,2011,Water for Elephants,20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,38000000.0,2817.0,2820.0,15723.0,16842353.0,58709717.0,67816014.0,58100000.0,116809717.0,water for elephants
455,2011,2011,Midnight in Paris,Sony Pictures Classics,Romantic Comedy,Original Screenplay,Live Action,Fantasy,30000000.0,6.0,1038.0,11164.0,599003.0,56816662.0,65627406.0,105462666.0,162279328.0,midnight in paris
456,2011,2011,I Am Number Four,Walt Disney,Adventure,Based on Fiction Book/Short Story,Live Action,Science Fiction,50000000.0,3154.0,3156.0,13924.0,19449893.0,55100437.0,63646904.0,91094722.0,146195159.0,i am number four
457,2011,2011,Source Code,Summit Entertainment,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,32000000.0,2961.0,2971.0,15639.0,14812094.0,54712227.0,63198486.0,85716272.0,140428499.0,source code
458,2011,2011,New Year's Eve,Warner Bros.,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,26000000.0,3505.0,3505.0,15513.0,13019180.0,54544638.0,62973177.0,92305635.0,146850273.0,new year's eve
459,2011,2011,Madea's Big Happy Family,Lionsgate,Comedy,Based on Play,Live Action,Contemporary Fiction,25000000.0,2288.0,2288.0,10083.0,25068677.0,53345287.0,61619522.0,815531.0,54160818.0,madea's big happy family
460,2011,2011,Footloose,Paramount Pictures,Musical,Remake,Live Action,Contemporary Fiction,24000000.0,3549.0,3555.0,18214.0,15556113.0,51802742.0,59837132.0,11187092.0,62989834.0,footloose
461,2011,2011,The Dilemma,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,70000000.0,2940.0,2943.0,13111.0,17816230.0,48475290.0,55994155.0,22071575.0,70546865.0,the dilemma
462,2011,2011,The Artist,Weinstein Co.,Drama,Original Screenplay,Live Action,Historical Fiction,16000000.0,4.0,1756.0,12752.0,204878.0,44667095.0,51422774.0,83589617.0,128256712.0,the artist
463,2011,2011,Hanna,Focus Features,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,30000000.0,2535.0,2545.0,11229.0,12370549.0,40259119.0,46503589.0,25084575.0,65343694.0,hanna
464,2011,2011,Something Borrowed,Warner Bros.,Romantic Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,35000000.0,2904.0,2904.0,11848.0,13945368.0,39046489.0,45102878.0,26037627.0,65084116.0,something borrowed
465,2011,2011,"Big Mommas: Like Father, Like Son",20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,32000000.0,2821.0,2821.0,10008.0,16300803.0,37915414.0,43796369.0,44417036.0,82332450.0,"big mommas: like father, like son"
466,2011,2011,Red Riding Hood,Warner Bros.,Thriller/Suspense,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,42000000.0,3030.0,3030.0,12411.0,14005335.0,37662162.0,43503835.0,54016280.0,91678442.0,red riding hood
467,2011,2011,In Time,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,35000000.0,3122.0,3127.0,12413.0,12050368.0,37553932.0,43376731.0,127550020.0,165103952.0,in time
468,2011,2011,The Roommate,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,16000000.0,2534.0,2534.0,9885.0,15002635.0,37300107.0,43085617.0,15245600.0,52545707.0,the roommate
469,2011,2011,Jumping the Broom,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,7000000.0,2035.0,2035.0,7763.0,15215487.0,37295394.0,43080176.0,863207.0,38158601.0,jumping the broom
470,2011,2011,Colombiana,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,40000000.0,2614.0,2614.0,11478.0,10408176.0,36665854.0,42352991.0,35629408.0,72295262.0,colombiana
471,2011,2011,Sucker Punch,Warner Bros.,Action,Original Screenplay,Live Action,Fantasy,75000000.0,3033.0,3033.0,9088.0,19058199.0,36392502.0,42037237.0,53365887.0,89758389.0,sucker punch
472,2011,2011,Larry Crowne,Universal,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,30000000.0,2973.0,2976.0,10001.0,13096065.0,35608245.0,41131340.0,25840890.0,61449135.0,larry crowne
473,2011,2011,Courageous,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,2000000.0,1161.0,1214.0,9963.0,9112839.0,34522221.0,39874744.0,663663.0,35185884.0,courageous
474,2011,2011,The Rite,Warner Bros.,Horror,Based on Factual Book/Article,Live Action,Dramatization,37000000.0,2985.0,2985.0,10485.0,14789393.0,33047633.0,38173558.0,64096354.0,97143987.0,the rite
475,2011,2011,Arthur,Warner Bros.,Romantic Comedy,Remake,Live Action,Contemporary Fiction,40000000.0,3276.0,3276.0,11648.0,12222756.0,33035397.0,38159424.0,14752546.0,47787943.0,arthur
476,2011,2011,Extremely Loud & Incredibly Close,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,40000000.0,6.0,2630.0,10681.0,72348.0,31847881.0,36650598.0,23400000.0,55247881.0,extremely loud & incredibly close
477,2011,2011,Priest,Sony Pictures,Horror,Based on Comic/Graphic Novel,Live Action,Fantasy,60000000.0,2864.0,2864.0,8469.0,14953664.0,29136626.0,33655919.0,55017400.0,84154026.0,priest
478,2011,2011,Abduction,Lionsgate,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,35000000.0,3118.0,3118.0,12598.0,10925253.0,28087155.0,32443667.0,58561204.0,86648359.0,abduction
479,2011,2011,Beastly,CBS Films,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,17000000.0,1952.0,1959.0,8961.0,9851102.0,27865571.0,32187718.0,10162659.0,38028230.0,beastly
480,2011,2011,Season of the Witch,Relativity,Action,Original Screenplay,Live Action,Fantasy,40000000.0,2816.0,2827.0,10225.0,10612375.0,24827228.0,28678101.0,66299372.0,91126600.0,season of the witch
481,2011,2011,The Darkest Hour,Summit Entertainment,Action,Original Screenplay,Live Action,Science Fiction,34800000.0,2324.0,2327.0,8648.0,2993519.0,21443494.0,24733365.0,41388221.0,62831715.0,the darkest hour
482,2011,2011,Dream House,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,50000000.0,2661.0,2664.0,9808.0,8129355.0,21302340.0,24606490.0,20339826.0,41642166.0,dream house
483,2011,2011,The Three Musketeers,Summit Entertainment,Adventure,Based on Fiction Book/Short Story,Live Action,Historical Fiction,90000000.0,3017.0,3017.0,9496.0,8674452.0,20377913.0,23538672.0,119500000.0,139877913.0,the three musketeers
484,2011,2011,The Eagle,Focus Features,Action,Based on Fiction Book/Short Story,Live Action,Historical Fiction,25000000.0,2296.0,2296.0,6832.0,8684464.0,19490041.0,22513082.0,19503507.0,38993548.0,the eagle
485,2011,2011,Shark Night 3D,Relativity,Horror,Original Screenplay,Live Action,Contemporary Fiction,25000000.0,2806.0,2848.0,9217.0,8404260.0,18877153.0,21805133.0,0.0,18877153.0,shark night 3d
486,2011,2011,Apollo 18,Weinstein Co.,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,5000000.0,3328.0,3330.0,9219.0,8704271.0,17686929.0,20430290.0,8830890.0,26517819.0,apollo 18
487,2011,2011,One Day,Focus Features,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,15000000.0,1721.0,1725.0,5379.0,5079566.0,13843771.0,15991033.0,45324921.0,59168692.0,one day
488,2011,2011,Warrior,Lionsgate,Drama,Original Screenplay,Live Action,Contemporary Fiction,25000000.0,1869.0,1883.0,6420.0,5242107.0,13657115.0,15775425.0,10558270.0,24215385.0,warrior
489,2011,2011,The Tree of Life,Fox Searchlight,Drama,Original Screenplay,Live Action,Historical Fiction,35000000.0,4.0,237.0,2286.0,372920.0,13305665.0,15369472.0,48416161.0,61721826.0,the tree of life
490,2011,2011,The Conspirator,Roadside Attractions,Drama,Based on Real Life Events,Live Action,Dramatization,25000000.0,707.0,849.0,3794.0,3506602.0,11538204.0,13327855.0,4369207.0,15907411.0,the conspirator
491,2011,2011,I Don't Know How She Does It,Weinstein Co.,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,24000000.0,2476.0,2490.0,6230.0,4402201.0,9659074.0,11157265.0,14815389.0,24474463.0,i don't know how she does it
492,2011,2011,Elle s'appelait Sarah,Weinstein Co.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,14500000.0,5.0,319.0,2702.0,115708.0,7691700.0,8884733.0,17788331.0,25480031.0,elle s'appelait sarah
493,2011,2011,Jodaeiye Nader az Simin,Sony Pictures Classics,Drama,Original Screenplay,Live Action,Contemporary Fiction,800000.0,3.0,282.0,1974.0,59481.0,7098492.0,8168861.0,17327677.0,24426169.0,jodaeiye nader az simin
494,2011,2011,Anonymous,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,27500000.0,265.0,514.0,1699.0,1021768.0,4463292.0,5155578.0,11352217.0,15815509.0,anonymous
495,2011,2011,Of Gods and Men,Sony Pictures Classics,Drama,Based on Real Life Events,Live Action,Dramatization,5000000.0,33.0,120.0,1164.0,308895.0,3954651.0,4568037.0,42308874.0,46263525.0,of gods and men
496,2011,2011,Like Crazy,Paramount Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,250000.0,4.0,162.0,838.0,123140.0,3395391.0,3921936.0,333009.0,3728400.0,like crazy
497,2011,2011,The Grace Card,Samuel Goldwyn Films,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,200000.0,352.0,352.0,1108.0,1010299.0,2430735.0,2807751.0,0.0,2430735.0,the grace card
498,2011,2011,A Better Life,Summit Entertainment,Drama,Original Screenplay,Live Action,Contemporary Fiction,10000000.0,4.0,216.0,895.0,62087.0,1759252.0,2032119.0,124999.0,1884251.0,a better life
499,2011,2011,The Art of Getting By,Fox Searchlight,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,4000000.0,610.0,610.0,929.0,679160.0,1430241.0,1652079.0,558794.0,1989035.0,the art of getting by
500,2011,2011,Salvando al Soldado Perez,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,4500000.0,161.0,165.0,486.0,664517.0,1400726.0,1617986.0,7929739.0,9330465.0,salvando al soldado perez
501,2011,2011,Snow Flower and the Secret Fan,Fox Searchlight,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,6000000.0,24.0,116.0,482.0,134005.0,1348205.0,1557319.0,10000000.0,11348205.0,snow flower and the secret fan
502,2011,2011,Another Earth,Fox Searchlight,Drama,Original Screenplay,Live Action,Science Fiction,175000.0,4.0,94.0,500.0,77740.0,1321194.0,1526120.0,781585.0,2102779.0,another earth
503,2011,2011,Dylan Dog: Dead of Night,Omin/Freestyle,Horror,Based on Comic/Graphic Novel,Live Action,Fantasy,20000000.0,875.0,875.0,1373.0,754779.0,1186538.0,1370574.0,4907187.0,6093725.0,dylan dog: dead of night
504,2011,2011,There Be Dragons,Samuel Goldwyn Films,Drama,Based on Real Life Events,Live Action,Dramatization,36000000.0,259.0,259.0,478.0,705537.0,1069334.0,1235189.0,2951656.0,4020990.0,there be dragons
505,2011,2011,The Beaver,Summit Entertainment,Comedy,Original Screenplay,Live Action,Contemporary Fiction,21000000.0,22.0,168.0,607.0,107577.0,970816.0,1121395.0,4075222.0,5046038.0,the beaver
506,2011,2011,POM Wonderful Presents: The Greatest …,Sony Pictures Classics,Documentary,Based on Real Life Events,Live Action,Factual,1800000.0,18.0,141.0,474.0,118294.0,638476.0,737499.0,145257.0,783733.0,pom wonderful presents: the greatest …
507,2011,2011,MOOZ-lum,Peace Film LLC,Drama,Original Screenplay,Live Action,Contemporary Fiction,1500000.0,11.0,25.0,92.0,139832.0,362239.0,418420.0,10000.0,372239.0,mooz-lum
508,2011,2011,Super,IFC Films,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,2500000.0,11.0,38.0,184.0,46549.0,327716.0,378546.0,266217.0,593933.0,super
509,2011,2011,Go For It!,Lionsgate,Drama,Original Screenplay,Live Action,Contemporary Fiction,2450000.0,218.0,218.0,296.0,119714.0,180237.0,208188.0,2121.0,182358.0,go for it!
510,2011,2011,The Last Godfather,Roadside Attractions,Comedy,Original Screenplay,Live Action,Historical Fiction,13400000.0,58.0,58.0,79.0,101779.0,164247.0,189722.0,0.0,164247.0,the last godfather
511,2011,2011,Restless,Sony Pictures Classics,Drama,Based on Play,Live Action,Fantasy,8000000.0,5.0,126.0,253.0,15467.0,163753.0,189145.0,2608758.0,2772511.0,restless
512,2011,2011,Redemption Road,Freestyle Releasing,Drama,Original Screenplay,Live Action,Contemporary Fiction,2300000.0,26.0,26.0,36.0,19152.0,29384.0,33938.0,0.0,29384.0,redemption road
513,2011,2011,Griff the Invisible,Indomina Releasing,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,2900000.0,6.0,6.0,17.0,5087.0,20778.0,23999.0,5157.0,25935.0,griff the invisible
514,2012,2012,The Avengers,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,225000000.0,4349.0,4349.0,37645.0,207438708.0,623357910.0,717331462.0,891742301.0,1515100211.0,the avengers
515,2012,2012,The Dark Knight Rises,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,230000000.0,4404.0,4404.0,32481.0,160887295.0,448139099.0,515697750.0,634089008.0,1082228107.0,the dark knight rises
516,2012,2012,The Hunger Games,Lionsgate,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,80000000.0,4137.0,4137.0,37651.0,152535747.0,408010692.0,469519836.0,269912687.0,677923379.0,the hunger games
517,2012,2012,Skyfall,Sony Pictures,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,200000000.0,3505.0,3526.0,28830.0,88364714.0,304360277.0,350061913.0,806166704.0,1110526981.0,skyfall
518,2012,2012,The Hobbit: An Unexpected Journey,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,200000000.0,4045.0,4100.0,27719.0,84617303.0,303003568.0,347739999.0,711934977.0,1014938545.0,the hobbit: an unexpected journey
519,2012,2012,The Twilight Saga: Breaking Dawn - Part 2,Lionsgate,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,136200000.0,4070.0,4070.0,24105.0,141067634.0,292324737.0,336316984.0,537400000.0,829724737.0,the twilight saga: breaking dawn - part 2
520,2012,2012,The Amazing Spider-Man,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Live Action,Super Hero,220000000.0,4318.0,4318.0,22495.0,62004688.0,262030663.0,301532773.0,495859604.0,757890267.0,the amazing spider-man
521,2012,2012,Lincoln,Walt Disney,Drama,Based on Factual Book/Article,Live Action,Dramatization,65000000.0,11.0,2293.0,29762.0,944308.0,182207973.0,208759258.0,91138308.0,273346281.0,lincoln
522,2012,2012,Men in Black 3,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Science Fiction,215000000.0,4248.0,4248.0,23743.0,54592779.0,179020854.0,206008922.0,475192631.0,654213485.0,men in black 3
523,2012,2012,Snow White and the Huntsman,Universal,Adventure,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,170000000.0,3773.0,3777.0,20263.0,56217700.0,155136755.0,178524205.0,245884991.0,401021746.0,snow white and the huntsman
524,2012,2012,Les Misérables,Universal,Musical,Based on Fiction Book/Short Story,Live Action,Historical Fiction,65000000.0,2814.0,2927.0,18984.0,27281735.0,148809770.0,170153201.0,289610672.0,438420442.0,les misérables
525,2012,2012,Taken 2,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,45000000.0,3661.0,3706.0,24392.0,49514769.0,139854287.0,160924135.0,237953117.0,377807404.0,taken 2
526,2012,2012,The Vow,Sony Pictures,Drama,Based on Real Life Events,Live Action,Historical Fiction,30000000.0,2958.0,3038.0,19802.0,41202458.0,125014030.0,143860365.0,72604130.0,197618160.0,the vow
527,2012,2012,The Bourne Legacy,Universal,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,125000000.0,3745.0,3753.0,22777.0,38142825.0,113203870.0,130269774.0,167152050.0,280355920.0,the bourne legacy
528,2012,2012,Think Like a Man,Sony Pictures,Romantic Comedy,Based on Factual Book/Article,Live Action,Contemporary Fiction,12000000.0,2015.0,2052.0,12145.0,33636303.0,91547205.0,105348290.0,21826559.0,113373764.0,think like a man
529,2012,2012,Wrath of the Titans,Warner Bros.,Adventure,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Fantasy,150000000.0,3545.0,3545.0,16391.0,33457188.0,83670083.0,96283655.0,221600000.0,305270083.0,wrath of the titans
530,2012,2012,Jack Reacher,Paramount Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,60000000.0,3352.0,3352.0,16875.0,15210156.0,80070736.0,91771768.0,137300000.0,217370736.0,jack reacher
531,2012,2012,Dark Shadows,Warner Bros.,Black Comedy,Based on TV,Live Action,Fantasy,150000000.0,3755.0,3755.0,18166.0,29685274.0,79727149.0,91746313.0,158475519.0,238202668.0,dark shadows
532,2012,2012,John Carter,Walt Disney,Adventure,Based on Fiction Book/Short Story,Live Action,Science Fiction,263700000.0,3749.0,3749.0,16062.0,30180188.0,73058679.0,84072550.0,209719421.0,282778100.0,john carter
533,2012,2012,Madea's Witness Protection,Lionsgate,Comedy,Original Screenplay,Live Action,Contemporary Fiction,20000000.0,2161.0,2161.0,10889.0,25390575.0,65653242.0,75550709.0,1297645.0,66950887.0,madea's witness protection
534,2012,2012,Battleship,Universal,Action,Based on Game,Live Action,Contemporary Fiction,220000000.0,3690.0,3702.0,15012.0,25534825.0,65233400.0,75067574.0,248244317.0,313477717.0,battleship
535,2012,2012,Pitch Perfect,Universal,Comedy,Based on Factual Book/Article,Live Action,Contemporary Fiction,17000000.0,335.0,2787.0,17223.0,5149433.0,65001093.0,74791940.0,51043254.0,116044347.0,pitch perfect
536,2012,2012,Chronicle,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,12000000.0,2907.0,2908.0,13597.0,22004098.0,64575175.0,74310124.0,59106615.0,123681790.0,chronicle
537,2012,2012,Hope Springs,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,30000000.0,2361.0,2441.0,16571.0,14650121.0,63536011.0,73114296.0,69549284.0,133085295.0,hope springs
538,2012,2012,The Lucky One,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,25000000.0,3155.0,3175.0,16380.0,22518358.0,60457138.0,69571272.0,36176695.0,96633833.0,the lucky one
539,2012,2012,Total Recall,Sony Pictures,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,125000000.0,3601.0,3601.0,13501.0,25577758.0,58877969.0,67754038.0,152978119.0,211856088.0,total recall
540,2012,2012,This Means War,20th Century Fox,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,65000000.0,3189.0,3189.0,15693.0,17405930.0,54760791.0,63016183.0,102213766.0,156974557.0,this means war
