,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,TitleLower
1440,2013,2013,The Reluctant Fundamentalist,IFC Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,15000000.0,3.0,58.0,247.0,30920.0,528731.0,595711.0,0.0,528731.0,the reluctant fundamentalist
1441,2013,2013,Ain't Them Bodies Saints,IFC Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,5000000.0,3.0,44.0,241.0,26419.0,391611.0,441219.0,683398.0,1075009.0,ain't them bodies saints
1442,2013,2013,Drinking Buddies,Magnolia Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,500000.0,2.0,33.0,157.0,19505.0,343706.0,387248.0,63394.0,407100.0,drinking buddies
1443,2013,2013,"Cinco de Mayo, La Batalla",Lionsgate,Action,Based on Real Life Events,Live Action,Dramatization,10000000.0,20.0,43.0,88.0,83586.0,173472.0,195447.0,0.0,173472.0,"cinco de mayo, la batalla"
1444,2013,2013,Winnie Mandela,Image Entertainment,Drama,Based on Factual Book/Article,Live Action,Dramatization,15000000.0,32.0,32.0,32.0,61847.0,61847.0,69680.0,0.0,61847.0,winnie mandela
1445,2013,2013,The Canyons,IFC Films,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,250000.0,1.0,9.0,19.0,13351.0,59671.0,67225.0,2704.0,62375.0,the canyons
1446,2013,2013,Redemption,Roadside Attractions,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,23000000.0,19.0,19.0,23.0,19768.0,36686.0,41330.0,13556787.0,13593473.0,redemption
1447,2013,2012,The Sweeney,Entertainment One,Action,Based on TV,Live Action,Historical Fiction,4500000.0,11.0,11.0,12.0,20321.0,26345.0,29678.0,7974021.0,8000366.0,the sweeney
1448,2013,2013,The Last Days on Mars,Magnolia Pictures,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,10600000.0,3.0,13.0,22.0,4608.0,24084.0,27123.0,237280.0,261364.0,the last days on mars
1449,2013,2013,The Brass Teapot,Magnet Pictures,Black Comedy,Original Screenplay,Live Action,Fantasy,900000.0,2.0,2.0,4.0,4468.0,6997.0,7878.0,406736.0,413733.0,the brass teapot
1450,2013,2013,Inescapable,IFC Films,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,4000000.0,2.0,7.0,9.0,1545.0,4327.0,4873.0,0.0,4327.0,inescapable
1451,2013,2013,Plush,IM Global/Blumhouse,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,2000000.0,10.0,10.0,10.0,2843.0,3080.0,3462.0,25784.0,28864.0,plush
1452,2013,2013,The Heat,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,43000000.0,3181.0,3184.0,21400.0,39115043.0,159581587.0,179799176.0,70146187.0,229727774.0,the heat
1453,2013,2013,We're the Millers,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,37000000.0,3260.0,3445.0,31564.0,26419396.0,150394119.0,169447735.0,117422157.0,267816276.0,we're the millers
1454,2013,2013,American Hustle,Sony Pictures,Black Comedy,Based on Real Life Events,Live Action,Dramatization,40000000.0,6.0,2629.0,23147.0,740455.0,150098456.0,168771534.0,107760487.0,257858943.0,american hustle
1455,2013,2013,Identity Thief,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,35000000.0,3141.0,3230.0,25197.0,34551025.0,134506920.0,151547767.0,40854658.0,175361578.0,identity thief
1456,2013,2013,Anchorman 2: The Legend Continues,Paramount Pictures,Comedy,Original Screenplay,Live Action,Historical Fiction,50000000.0,3507.0,3507.0,18686.0,26232425.0,127413176.0,143452488.0,44833047.0,172246223.0,anchorman 2: the legend continues
1457,2013,2013,Lone Survivor,Universal,Action,Based on Factual Book/Article,Live Action,Dramatization,40000000.0,2.0,3285.0,21035.0,90872.0,125095601.0,140255859.0,24709031.0,149804632.0,lone survivor
1458,2013,2013,The Wolf of Wall Street,Paramount Pictures,Black Comedy,Based on Factual Book/Article,Live Action,Dramatization,100000000.0,2537.0,2557.0,17000.0,18410067.0,116949183.0,131468982.0,272969720.0,389918903.0,the wolf of wall street
1459,2013,2013,The Hangover Part III,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,103000000.0,3555.0,3565.0,15512.0,41671198.0,112200072.0,126414833.0,249800000.0,362000072.0,the hangover part iii
1460,2013,2013,This is the End,Sony Pictures,Comedy,Based on Short Film,Live Action,Science Fiction,32000000.0,3055.0,3055.0,17933.0,20719162.0,101470202.0,114325584.0,25068915.0,126539117.0,this is the end
1461,2013,2013,Olympus Has Fallen,FilmDistrict,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,70000000.0,3098.0,3106.0,21351.0,30373794.0,98927592.0,111460849.0,73951336.0,172878928.0,olympus has fallen
1462,2013,2013,Elysium,Sony Pictures,Action,Original Screenplay,Live Action,Science Fiction,120000000.0,3284.0,3284.0,18976.0,29807393.0,93050117.0,104838746.0,193141974.0,286192091.0,elysium
1463,2013,2013,2 Guns,Universal,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,61000000.0,3025.0,3028.0,15505.0,27059130.0,75612460.0,85191893.0,56880555.0,132493015.0,2 guns
1464,2013,2013,A Good Day to Die Hard,20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,92000000.0,3553.0,3555.0,14076.0,24834845.0,67349198.0,75881751.0,236900000.0,304249198.0,a good day to die hard
1465,2013,2013,Prisoners,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,46000000.0,3260.0,3290.0,17651.0,20817053.0,61002302.0,68730759.0,52400000.0,113402302.0,prisoners
1466,2013,2013,Hansel & Gretel: Witch Hunters,Paramount Pictures,Action,Based on Folk Tale/Legend/Fairytale,Live Action,Contemporary Fiction,50000000.0,3372.0,3375.0,15373.0,19690956.0,55703475.0,62760610.0,159246241.0,214949716.0,hansel & gretel: witch hunters
1467,2013,2013,Gangster Squad,Warner Bros.,Action,Based on Factual Book/Article,Live Action,Dramatization,60000000.0,3103.0,3103.0,12153.0,17070347.0,46000903.0,51828810.0,58100000.0,104100903.0,gangster squad
1468,2013,2013,Riddick,Universal,Action,Original Screenplay,Live Action,Science Fiction,38000000.0,3107.0,3117.0,12706.0,19030375.0,42025135.0,47349350.0,52738623.0,94763758.0,riddick
1469,2013,2013,Rush,Universal,Drama,Based on Real Life Events,Live Action,Dramatization,38000000.0,5.0,2308.0,9212.0,187289.0,26947624.0,30361644.0,71283215.0,98230839.0,rush
